trialType,cndTyp,lag,T1_loc,gap,T2_loc,primePos,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,lastPresent,polygon.started,polygon.stopped,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,flipper,opt1_t1,opt2_t1,option1_t1.started,option1_t1.stopped,option2_t1.started,option2_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,opt1_t2,opt2_t2,option1_t2.started,option1_t2.stopped,option2_t2.started,option2_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
AB,lag1,1,4,0,5,103,0.2,0.15,0,0,0,136,squid.jpg,frisbee.jpg,ladybug03.jpg,lily.jpg,cross01.jpg,musicsheet.jpg,tie02.jpg,shower.jpg,badmintonracket.jpg,waterfountain02.jpg,lollipop04.jpg,skippingrope.jpg,foldingchair.jpg,sledgehammer.jpg,curtain.jpg,redfox.jpg,fishskeleton.jpg,7,5.417238999973051,None,5.417238999973051,None,5.417238999973051,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\redfox.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\lily.jpg,8.151945999939926,None,8.151945999939926,None,right,1.788572799996473,8.151945999939926,None,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\fishskeleton.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\cross01.jpg,9.98511020001024,None,9.98511020001024,None,right,1.683588800020516,9.98511020001024,None,11.685050949966534,None,None,11.685050949966534,None,,,001,2021_Mar_15_1404,AB_pic,2020.2.10,60.005496489447054,
AB,lag2,2,5,0,7,104,0.2,0.15,0,1,1,49,smokingpipe.jpg,shower.jpg,skateboard.jpg,cross01.jpg,ladybug03.jpg,wheelbarrow01.jpg,kneepad01c.jpg,foldingchair.jpg,rose.jpg,musicsheet.jpg,totempole.jpg,tie02.jpg,mouse.jpg,flag.jpg,airhockeytable.jpg,banjo.jpg,snowshoe.jpg,9,11.70168289996218,None,11.70168289996218,None,11.70168289996218,None,True,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\banjo.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\ladybug03.jpg,15.201513599953614,None,15.201513599953614,None,right,1.0589927000692114,15.201513599953614,None,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\snowshoe.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\kneepad01c.jpg,16.284717999980785,None,16.284717999980785,None,left,0.3997815999900922,16.284717999980785,None,16.701361849950626,None,None,16.701361849950626,None,,,001,2021_Mar_15_1404,AB_pic,2020.2.10,60.005496489447054,
AB,lag5,5,5,0,10,104,0.2,0.15,0,2,2,100,chainsaw.jpg,totempole.jpg,eiffeltower.jpg,surfboard.jpg,badmintonracket.jpg,foot.jpg,musicsheet.jpg,frisbee.jpg,redfox.jpg,foldingchair.jpg,hotdogweiner.jpg,skateboard.jpg,kneepad01c.jpg,wheelbarrow01.jpg,rose.jpg,flag.jpg,corn02.jpg,12,16.7180578999687,None,16.7180578999687,None,16.7180578999687,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\badmintonracket.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\flag.jpg,21.25106199993752,None,21.25106199993752,None,left,1.8254033999983221,21.25106199993752,None,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\corn02.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\foldingchair.jpg,23.100940400036052,None,23.100940400036052,None,left,0.6156442000064999,23.100940400036052,None,23.76756840001326,None,space,23.76756840001326,None,1.7009463000576943,,001,2021_Mar_15_1404,AB_pic,2020.2.10,60.005496489447054,
AB,lag1,1,4,0,5,103,0.2,0.15,0,3,3,24,skateboard.jpg,xylophone.jpg,cross01.jpg,musicsheet.jpg,sledgehammer.jpg,flag.jpg,hotdogweiner.jpg,foot.jpg,coffeemaker.jpg,ostrich.jpg,banjo.jpg,foldingchair.jpg,dromedary.jpg,smokingpipe.jpg,wheelbarrow01.jpg,chainsaw.jpg,eiffeltower.jpg,7,25.50080199993681,None,25.50080199993681,None,25.50080199993681,None,True,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\chainsaw.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\musicsheet.jpg,28.317277299938723,None,28.317277299938723,None,left,2.5192192000104114,28.317277299938723,None,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\eiffeltower.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\sledgehammer.jpg,30.867141800001264,None,30.867141800001264,None,left,0.44138149998616427,30.867141800001264,None,31.333755550021305,None,None,31.333755550021305,None,,,001,2021_Mar_15_1404,AB_pic,2020.2.10,60.005496489447054,
AB,lag7,7,5,0,12,104,0.2,0.15,0,4,4,59,lollipop04.jpg,snowshoe.jpg,skippingrope.jpg,wheelbarrow01.jpg,badmintonracket.jpg,cross01.jpg,coffeemaker.jpg,corn02.jpg,toad.jpg,foldingchair.jpg,ladybug03.jpg,frisbee.jpg,dromedary.jpg,ostrich.jpg,waterfountain02.jpg,curtain.jpg,skateboard.jpg,,31.350400099996477,None,31.350400099996477,None,31.350400099996477,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\curtain.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\badmintonracket.jpg,36.6167306000134,None,36.6167306000134,None,right,0.7956863000290468,36.6167306000134,None,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\frisbee.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\skateboard.jpg,37.43333819997497,None,37.43333819997497,None,right,0.6192807999905199,37.43333819997497,None,38.08332264998462,None,None,38.08332264998462,None,,,001,2021_Mar_15_1404,AB_pic,2020.2.10,60.005496489447054,
AB,lag1,1,4,0,5,103,0.2,0.15,0,5,5,10,airhockeytable.jpg,dromedary.jpg,squid.jpg,tie02.jpg,foldingchair.jpg,musicsheet.jpg,waterfountain02.jpg,rose.jpg,cross01.jpg,mouse.jpg,lily.jpg,ladybug03.jpg,foot.jpg,skateboard.jpg,curtain.jpg,badmintonracket.jpg,eiffeltower.jpg,7,38.09997049998492,None,38.09997049998492,None,38.09997049998492,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\tie02.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\badmintonracket.jpg,40.88311169994995,None,40.88311169994995,None,right,0.8973664999939501,40.88311169994995,None,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\eiffeltower.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\foldingchair.jpg,41.816404999932274,None,41.816404999932274,None,right,1.1640799000160769,41.816404999932274,None,42.99966765001882,None,None,42.99966765001882,None,,,001,2021_Mar_15_1404,AB_pic,2020.2.10,60.005496489447054,
AB,lag4,4,4,0,8,103,0.2,0.15,0,6,6,11,toad.jpg,rose.jpg,ostrich.jpg,sledgehammer.jpg,wheelbarrow01.jpg,lollipop04.jpg,airhockeytable.jpg,tie02.jpg,xylophone.jpg,badmintonracket.jpg,lily.jpg,waterfountain02.jpg,totempole.jpg,eiffeltower.jpg,cross01.jpg,foldingchair.jpg,musicsheet.jpg,10,43.016306399949826,None,43.016306399949826,None,43.016306399949826,None,True,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\foldingchair.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\sledgehammer.jpg,46.86606439994648,None,46.86606439994648,None,left,0.6984510999172926,46.86606439994648,None,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\tie02.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\musicsheet.jpg,47.58267919998616,None,47.58267919998616,None,right,0.373908800072968,47.58267919998616,None,47.98269354999066,None,None,47.98269354999066,None,,,001,2021_Mar_15_1404,AB_pic,2020.2.10,60.005496489447054,
AB,lag4,4,5,0,9,104,0.2,0.15,0,7,7,46,totempole.jpg,redfox.jpg,shower.jpg,hotdogweiner.jpg,coffeemaker.jpg,badmintonracket.jpg,curtain.jpg,frisbee.jpg,eiffeltower.jpg,musicsheet.jpg,smokingpipe.jpg,dandelion.jpg,lily.jpg,dromedary.jpg,squid.jpg,foot.jpg,flag.jpg,11,47.99932840000838,None,47.99932840000838,None,47.99932840000838,None,True,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\foot.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\coffeemaker.jpg,52.199044700013474,None,52.199044700013474,None,left,1.117481300025247,52.199044700013474,None,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\eiffeltower.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\flag.jpg,53.33232940000016,None,53.33232940000016,None,left,0.39213500008918345,53.33232940000016,None,53.74894444998354,None,None,53.74894444998354,None,,,001,2021_Mar_15_1404,AB_pic,2020.2.10,60.005496489447054,
AB,lag5,5,4,0,9,103,0.2,0.15,0,8,8,125,waterfountain02.jpg,musicsheet.jpg,eiffeltower.jpg,tie02.jpg,mouse.jpg,skateboard.jpg,foldingchair.jpg,sledgehammer.jpg,lollipop04.jpg,surfboard.jpg,airhockeytable.jpg,shower.jpg,corn02.jpg,wheelbarrow01.jpg,chainsaw.jpg,redfox.jpg,fishskeleton.jpg,11,53.76561100000981,None,53.76561100000981,None,53.76561100000981,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\redfox.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\tie02.jpg,57.948675799998455,None,57.948675799998455,None,right,0.6717934000771493,57.948675799998455,None,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\fishskeleton.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\lollipop04.jpg,58.6486225000117,None,58.6486225000117,None,left,0.44384620001073927,58.6486225000117,None,59.11528534993995,None,None,59.11528534993995,None,,,001,2021_Mar_15_1404,AB_pic,2020.2.10,60.005496489447054,
AB,lag7,7,3,0,10,102,0.2,0.15,0,9,9,73,squid.jpg,foot.jpg,flag.jpg,musicsheet.jpg,badmintonracket.jpg,smokingpipe.jpg,rose.jpg,eiffeltower.jpg,toad.jpg,lily.jpg,ladybug03.jpg,waterfountain02.jpg,foldingchair.jpg,cross01.jpg,wheelbarrow01.jpg,hotdogweiner.jpg,frisbee.jpg,12,59.131926400004886,None,59.131926400004886,None,59.131926400004886,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\flag.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\hotdogweiner.jpg,63.68164850003086,None,63.68164850003086,None,left,0.9068430999759585,63.68164850003086,None,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\frisbee.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\lily.jpg,64.61497859994415,None,64.61497859994415,None,left,0.5815481999889016,64.61497859994415,None,65.2148749499349,None,None,65.2148749499349,None,,,001,2021_Mar_15_1404,AB_pic,2020.2.10,60.005496489447054,
