trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,lastPresent,polygon.started,polygon.stopped,polygon_3.started,polygon_3.stopped,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,flipper,opt1_t1,opt2_t1,opt3_t1,opt4_t1,option4_t1.started,option4_t1.stopped,option1_t1.started,option1_t1.stopped,option2_t1.started,option2_t1.stopped,option3_t1.started,option3_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,option1_t2.started,option1_t2.stopped,option2_t2.started,option2_t2.stopped,option3_t2.started,option3_t2.stopped,option4_t2.started,option4_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,lag3,3,4,7,0.2,0.05,0,0,0,146,chefshat.jpg,christmastree.jpg,africanelephant.jpg,slug.jpg,squirrel.jpg,jackrabbit.jpg,nunchuk.jpg,parkingmeter.jpg,crosscountryski.jpg,ducttape.jpg,magneticcompass.jpg,hammerheadshark.jpg,arrow02.jpg,candycane01a.jpg,steeringwheel.jpg,cactus.jpg,bridge.jpg,9,5.445372199988924,None,5.445372199988924,None,5.445372199988924,None,5.445372199988924,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\nunchuk.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\bridge.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\slug.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\cactus.jpg,7.902429900015704,None,7.902429900015704,None,7.902429900015704,None,7.902429900015704,None,left,1.6779928000178188,7.902429900015704,None,9.635617400053889,None,9.635617400053889,None,9.635617400053889,None,9.635617400053889,None,left,0.68873649998568,9.635617400053889,None,10.35231640007114,None,None,10.35231640007114,None,,001,2021_Mar_15_1517,AB_pic,2020.2.10,60.00873728279078,
AB,lag6,6,3,9,0.2,0.05,0,1,1,139,pokerchips.jpg,crosscountryski.jpg,ducttape.jpg,steeringwheel.jpg,slug.jpg,hockeystick.jpg,ironingboard01.jpg,raccoon.jpg,licenseplate.jpg,jackrabbit.jpg,magneticcompass.jpg,africanelephant.jpg,cannon.jpg,stubbywrench01a.jpg,nose.jpg,noparkingsign.jpg,electricguitar01.jpg,11,10.368962200009264,None,10.368962200009264,None,10.368962200009264,None,10.368962200009264,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\noparkingsign.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\electricguitar01.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\licenseplate.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\ducttape.jpg,13.38545340008568,None,13.38545340008568,None,13.38545340008568,None,13.38545340008568,None,left,0.8108813000144437,13.38545340008568,None,14.235387200023979,None,14.235387200023979,None,14.235387200023979,None,14.235387200023979,None,right,0.6409498999128118,14.235387200023979,None,14.902024599991273,None,None,14.902024599991273,None,,001,2021_Mar_15_1517,AB_pic,2020.2.10,60.00873728279078,
AB,lag4,4,3,7,0.2,0.05,0,2,2,128,bridge.jpg,dalmatian.jpg,electricguitar01.jpg,spicerack.jpg,licenseplate.jpg,blender.jpg,nunchuk.jpg,tent.jpg,parkingmeter.jpg,chefshat.jpg,crosscountryski.jpg,swing.jpg,ducttape.jpg,cannon.jpg,arrow02.jpg,ironingboard01.jpg,noparkingsign.jpg,9,14.918667200021446,None,14.918667200021446,None,14.918667200021446,None,14.918667200021446,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\nunchuk.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\noparkingsign.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\electricguitar01.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\ironingboard01.jpg,17.418509399984032,None,17.418509399984032,None,17.418509399984032,None,17.418509399984032,None,up,0.7619279000209644,17.418509399984032,None,18.218481400050223,None,18.218481400050223,None,18.218481400050223,None,18.218481400050223,None,left,0.5298080999637023,18.218481400050223,None,18.768434800009707,None,None,18.768434800009707,None,,001,2021_Mar_15_1517,AB_pic,2020.2.10,60.00873728279078,
AB,lag2,2,4,6,0.2,0.05,0,3,3,28,magneticcompass.jpg,spicerack.jpg,leafrake.jpg,doghouse.jpg,licenseplate.jpg,jackrabbit.jpg,ironingboard01.jpg,hammerheadshark.jpg,slug.jpg,squirrel.jpg,tent.jpg,nose.jpg,blender.jpg,steeringwheel.jpg,zipper.jpg,ducttape.jpg,hockeystick.jpg,8,18.785089100012556,None,18.785089100012556,None,18.785089100012556,None,18.785089100012556,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\jackrabbit.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\hockeystick.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\ducttape.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\doghouse.jpg,21.051596000092104,None,21.051596000092104,None,21.051596000092104,None,21.051596000092104,None,down,1.600770500022918,21.051596000092104,None,22.68486939999275,None,22.68486939999275,None,22.68486939999275,None,22.68486939999275,None,left,0.46346510003786534,22.68486939999275,None,23.168141000007743,None,None,23.168141000007743,None,,001,2021_Mar_15_1517,AB_pic,2020.2.10,60.00873728279078,
AB,lag5,5,5,10,0.2,0.05,0,4,4,56,magneticcompass.jpg,bridge.jpg,nunchuk.jpg,ducttape.jpg,icecube02.jpg,cactus.jpg,foosballtable.jpg,polarbear.jpg,raccoon.jpg,jackrabbit.jpg,stubbywrench01a.jpg,arrow02.jpg,tent.jpg,swing.jpg,cannon.jpg,parkingmeter.jpg,blender.jpg,12,23.184793499996886,None,23.184793499996886,None,23.184793499996886,None,23.184793499996886,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\parkingmeter.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\jackrabbit.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\icecube02.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\blender.jpg,26.43458170001395,None,26.43458170001395,None,26.43458170001395,None,26.43458170001395,None,right,0.7059127999236807,26.43458170001395,None,27.18453560001217,None,27.18453560001217,None,27.18453560001217,None,27.18453560001217,None,up,0.4998466999968514,27.18453560001217,None,27.70118840007344,None,None,27.70118840007344,None,,001,2021_Mar_15_1517,AB_pic,2020.2.10,60.00873728279078,
AB,lag1,1,5,6,0.2,0.05,0,5,5,109,calendar.jpg,hockeystick.jpg,steeringwheel.jpg,noparkingsign.jpg,chefshat.jpg,nunchuk.jpg,nose.jpg,squirrel.jpg,parkingmeter.jpg,hammerheadshark.jpg,icecube02.jpg,slug.jpg,marble.jpg,licenseplate.jpg,spicerack.jpg,dalmatian.jpg,polarbear.jpg,8,27.717836200026795,None,27.717836200026795,None,27.717836200026795,None,27.717836200026795,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\chefshat.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\dalmatian.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\polarbear.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\nunchuk.jpg,29.984351900056936,None,29.984351900056936,None,29.984351900056936,None,29.984351900056936,None,left,0.8119981000199914,29.984351900056936,None,30.83429650007747,None,30.83429650007747,None,30.83429650007747,None,30.83429650007747,None,up,3.1220879000611603,30.83429650007747,None,33.98410310006002,None,None,33.98410310006002,None,,001,2021_Mar_15_1517,AB_pic,2020.2.10,60.00873728279078,
AB,lag7,7,3,10,0.2,0.05,0,6,6,64,cannon.jpg,parkingmeter.jpg,hockeystick.jpg,stubbywrench01a.jpg,africanelephant.jpg,noparkingsign.jpg,ironingboard01.jpg,dalmatian.jpg,ducttape.jpg,chefshat.jpg,pokerchips.jpg,polarbear.jpg,jackrabbit.jpg,leafrake.jpg,marble.jpg,calendar.jpg,hammerheadshark.jpg,12,34.00077460007742,None,34.00077460007742,None,34.00077460007742,None,34.00077460007742,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\hammerheadshark.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\chefshat.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\calendar.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\hockeystick.jpg,37.26718189998064,None,37.26718189998064,None,37.26718189998064,None,37.26718189998064,None,right,0.48117679997812957,37.26718189998064,None,37.78384280006867,None,37.78384280006867,None,37.78384280006867,None,37.78384280006867,None,up,0.4844922999618575,37.78384280006867,None,38.283802200027274,None,None,38.283802200027274,None,,001,2021_Mar_15_1517,AB_pic,2020.2.10,60.00873728279078,
AB,lag5,5,4,9,0.2,0.05,0,7,7,63,cactus.jpg,raccoon.jpg,tent.jpg,hockeystick.jpg,magneticcompass.jpg,chefshat.jpg,foosballtable.jpg,squirrel.jpg,ducttape.jpg,ironingboard01.jpg,cannon.jpg,nose.jpg,bridge.jpg,blender.jpg,jackrabbit.jpg,steeringwheel.jpg,crosscountryski.jpg,11,38.300474200048484,None,38.300474200048484,None,38.300474200048484,None,38.300474200048484,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\crosscountryski.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\ducttape.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\hockeystick.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\steeringwheel.jpg,41.30031200009398,None,41.30031200009398,None,41.30031200009398,None,41.30031200009398,None,down,1.1361800999147817,41.30031200009398,None,42.4835330999922,None,42.4835330999922,None,42.4835330999922,None,42.4835330999922,None,right,0.48889739997684956,42.4835330999922,None,43.00016269999323,None,None,43.00016269999323,None,,001,2021_Mar_15_1517,AB_pic,2020.2.10,60.00873728279078,
AB,lag3,3,4,7,0.2,0.05,0,8,8,88,christmastree.jpg,doghouse.jpg,raccoon.jpg,stubbywrench01a.jpg,dalmatian.jpg,marble.jpg,bridge.jpg,cannon.jpg,nose.jpg,tent.jpg,slug.jpg,noparkingsign.jpg,chefshat.jpg,foosballtable.jpg,steeringwheel.jpg,squirrel.jpg,electricguitar01.jpg,9,43.01683370000683,None,43.01683370000683,None,43.01683370000683,None,43.01683370000683,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\electricguitar01.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\squirrel.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\bridge.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\stubbywrench01a.jpg,45.51667200005613,None,45.51667200005613,None,45.51667200005613,None,45.51667200005613,None,right,0.7998197000706568,45.51667200005613,None,46.34996070002671,None,46.34996070002671,None,46.34996070002671,None,46.34996070002671,None,right,0.49444010003935546,46.34996070002671,None,46.86661380009027,None,None,46.86661380009027,None,,001,2021_Mar_15_1517,AB_pic,2020.2.10,60.00873728279078,
AB,lag2,2,4,6,0.2,0.05,0,9,9,97,chefshat.jpg,pokerchips.jpg,swing.jpg,licenseplate.jpg,nose.jpg,blender.jpg,electricguitar01.jpg,zipper.jpg,leafrake.jpg,ducttape.jpg,candycane01a.jpg,doghouse.jpg,dalmatian.jpg,steeringwheel.jpg,hammerheadshark.jpg,magneticcompass.jpg,foosballtable.jpg,8,46.88324590004049,None,46.88324590004049,None,46.88324590004049,None,46.88324590004049,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\licenseplate.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\magneticcompass.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\foosballtable.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\blender.jpg,49.149777900078334,None,49.149777900078334,None,49.149777900078334,None,49.149777900078334,None,left,0.6067176000215113,49.149777900078334,None,49.799731399980374,None,49.799731399980374,None,49.799731399980374,None,49.799731399980374,None,down,0.9407015999313444,49.799731399980374,None,50.76635180009762,None,None,50.76635180009762,None,,001,2021_Mar_15_1517,AB_pic,2020.2.10,60.00873728279078,
