trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,flipper,opt1_t1,polygon_4.started,polygon_4.stopped,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,lag4,4,3,7,0.07,0.03,0,0,0,99,barrel01.jpg,surfboard.jpg,statue.jpg,hockeystick.jpg,parkfountain.jpg,bluejay.jpg,redfox.jpg,motorcycle.jpg,blender.jpg,mummy.jpg,tie02.jpg,pig.jpg,baseballbat.jpg,swordfish.jpg,tulip02.jpg,bumpercar.jpg,skunk.jpg,5.4913470999999845,8.249936100000014,5.4913470999999845,8.249936100000014,7.916626200000792,None,0,0,9,8.383275099999992,None,8.383275099999992,None,False,.\resources\redfox.jpg,9.382812100000592,None,9.382812100000592,None,right,0.5937323999996806,9.382812100000592,None,10.016106300000502,None,10.016106300000502,None,right,0.27231099999971775,10.016106300000502,None,10.332793700000366,None,11.332687619999978,None,None,11.332687619999978,None,,001,2021_Mar_16_1043,AB_pic,2020.2.10,59.97386339040999,
AB,lag6,6,5,11,0.07,0.03,0,1,1,8,tie02.jpg,barrel01.jpg,cloud.jpg,accordion01.jpg,tulip02.jpg,seagull.jpg,baseballbat.jpg,skunk.jpg,pig.jpg,panda.jpg,dolphin01.jpg,parkfountain.jpg,triangle.jpg,tree.jpg,magneticcompass.jpg,statue.jpg,stool01.jpg,11.349356100000477,14.099168400000053,11.349356100000477,14.099168400000053,13.832570600000508,None,0,0,13,14.349152400000094,None,14.349152400000094,None,False,.\resources\dolphin01.jpg,15.749064600000565,None,15.749064600000565,None,right,0.5075155000004088,15.749064600000565,None,16.29901730000074,None,16.29901730000074,None,right,0.2374219000002995,16.29901730000074,None,16.565673600000082,None,17.565602820000187,None,None,17.565602820000187,None,,001,2021_Mar_16_1043,AB_pic,2020.2.10,59.97386339040999,
AB,lag7,7,4,11,0.07,0.03,0,2,2,156,tree.jpg,statue.jpg,calendar.jpg,cloud.jpg,motorcycle.jpg,redfox.jpg,hockeystick.jpg,baseballbat.jpg,bluejay.jpg,tulip02.jpg,parkfountain.jpg,birdnest.jpg,pig.jpg,seagull.jpg,stool01.jpg,triangle.jpg,rubikcube.jpg,17.582281599999988,20.33257020000019,17.582281599999988,20.33257020000019,20.065440000000308,None,0,1,13,20.565409300000283,None,20.565409300000283,None,False,.\resources\parkfountain.jpg,21.981987900000604,None,21.981987900000604,None,right,0.8504800999999134,21.981987900000604,None,22.86525900000015,None,22.86525900000015,None,left,0.4232406000000992,22.86525900000015,None,23.33190470000045,None,24.3318267200003,None,None,24.3318267200003,None,,001,2021_Mar_16_1043,AB_pic,2020.2.10,59.97386339040999,
AB,lag2,2,4,6,0.07,0.03,0,3,3,97,lily.jpg,swordfish.jpg,bluejay.jpg,hockeystick.jpg,bumpercar.jpg,corn02.jpg,showerhead01.jpg,bull.jpg,frenchfries.jpg,dolphin01.jpg,dragonfly01.jpg,tulip02.jpg,motorcycle.jpg,tie02.jpg,parkfountain.jpg,stool01.jpg,car.jpg,24.348499700000502,27.0983367000008,24.348499700000502,27.0983367000008,26.831660499999998,None,0,0,8,27.348301200000606,None,27.348301200000606,None,False,.\resources\corn02.jpg,28.248233500000424,None,28.248233500000424,None,right,0.600213800000347,28.248233500000424,None,28.881525800000418,None,28.881525800000418,None,right,0.21490970000013476,28.881525800000418,None,29.114839500000016,None,30.114797220000675,None,None,30.114797220000675,None,,001,2021_Mar_16_1043,AB_pic,2020.2.10,59.97386339040999,
AB,lag1,1,4,5,0.07,0.03,0,4,4,4,skunk.jpg,mummy.jpg,barrel01.jpg,dolphin01.jpg,triangle.jpg,motorcycle.jpg,bumpercar.jpg,stool01.jpg,sword01.jpg,birdnest.jpg,rubikcube.jpg,dragonfly01.jpg,lily.jpg,seagull.jpg,swordfish.jpg,accordion01.jpg,tie02.jpg,30.131443300000683,32.88126190000003,30.131443300000683,32.88126190000003,32.597967400000016,None,0,0,7,33.097919900000306,None,33.097919900000306,None,False,.\resources\triangle.jpg,33.914527400000225,None,33.914527400000225,None,right,0.7819354999992356,33.914527400000225,None,34.731137100000524,None,34.731137100000524,None,right,0.2132982000002812,34.731137100000524,None,34.96445620000031,None,35.9643848200004,None,None,35.9643848200004,None,,001,2021_Mar_16_1043,AB_pic,2020.2.10,59.97386339040999,
AB,lag1,1,4,5,0.07,0.03,0,5,5,10,bumpercar.jpg,pig.jpg,barrel01.jpg,frenchfries.jpg,baseballbat.jpg,birdnest.jpg,dolphin01.jpg,hockeystick.jpg,parkfountain.jpg,accordion01.jpg,cloud.jpg,tulip02.jpg,triangle.jpg,blender.jpg,mummy.jpg,motorcycle.jpg,tie02.jpg,35.98107490000075,38.730876500000704,35.98107490000075,38.730876500000704,38.44755930000065,None,0,0,7,38.964194099999986,None,38.964194099999986,None,False,.\resources\baseballbat.jpg,39.76414300000033,None,39.76414300000033,None,right,1.564285800000107,39.76414300000033,None,41.36403480000081,None,41.36403480000081,None,right,0.3403811999996833,41.36403480000081,None,41.73070750000079,None,42.73060652000013,None,None,42.73060652000013,None,,001,2021_Mar_16_1043,AB_pic,2020.2.10,59.97386339040999,
AB,lag4,4,3,7,0.07,0.03,0,6,6,3,calendar.jpg,tree.jpg,rubikcube.jpg,birdnest.jpg,skunk.jpg,tulip02.jpg,triangle.jpg,showerhead01.jpg,panda.jpg,mummy.jpg,corn02.jpg,tricycle.jpg,pig.jpg,stool01.jpg,redfox.jpg,motorcycle.jpg,blender.jpg,42.74727880000046,45.49713090000023,42.74727880000046,45.49713090000023,45.23044110000046,None,0,0,9,45.73041270000067,None,45.73041270000067,None,False,.\resources\triangle.jpg,46.74701630000072,None,46.74701630000072,None,right,0.3895252000002074,46.74701630000072,None,47.18033660000037,None,47.18033660000037,None,right,0.24412910000046395,47.18033660000037,None,47.44703050000044,None,48.44689602000026,None,None,48.44689602000026,None,,001,2021_Mar_16_1043,AB_pic,2020.2.10,59.97386339040999,
AB,lag4,4,4,8,0.07,0.03,0,7,7,34,mummy.jpg,seagull.jpg,tree.jpg,lily.jpg,baseballbat.jpg,sword01.jpg,panda.jpg,magneticcompass.jpg,stool01.jpg,toolbox02.jpg,bumpercar.jpg,swordfish.jpg,barrel01.jpg,surfboard.jpg,birdnest.jpg,showerhead01.jpg,redfox.jpg,48.46356050000031,51.213408400000844,48.46356050000031,51.213408400000844,50.94717050000054,None,1,0,10,51.4467424000004,None,51.4467424000004,None,False,.\resources\magneticcompass.jpg,52.563297700000476,None,52.563297700000476,None,left,2.0531989999999496,52.563297700000476,None,54.66315310000027,None,54.66315310000027,None,left,0.3217357000003176,54.66315310000027,None,55.02981010000076,None,56.029748420000125,None,None,56.029748420000125,None,,001,2021_Mar_16_1043,AB_pic,2020.2.10,59.97386339040999,
AB,lag4,4,5,9,0.07,0.03,0,8,8,127,motorcycle.jpg,calendar.jpg,tulip02.jpg,blender.jpg,bluejay.jpg,hockeystick.jpg,skunk.jpg,bumpercar.jpg,tree.jpg,seagull.jpg,tricycle.jpg,showerhead01.jpg,cloud.jpg,worldmap.jpg,triangle.jpg,statue.jpg,rubikcube.jpg,56.04639260000022,58.79623510000056,56.04639260000022,58.79623510000056,58.51294880000023,None,0,0,11,59.029558300000645,None,59.029558300000645,None,False,.\resources\tree.jpg,60.22948250000081,None,60.22948250000081,None,right,0.9949118000004091,60.22948250000081,None,61.26272000000063,None,61.26272000000063,None,left,0.3457527000000482,61.26272000000063,None,61.64602300000024,None,62.645972920000624,None,None,62.645972920000624,None,,001,2021_Mar_16_1043,AB_pic,2020.2.10,59.97386339040999,
AB,lag7,7,5,12,0.07,0.03,0,9,9,138,surfboard.jpg,bumpercar.jpg,tricycle.jpg,bluejay.jpg,parkfountain.jpg,lily.jpg,corn02.jpg,hockeystick.jpg,barrel01.jpg,tie02.jpg,baseballbat.jpg,tulip02.jpg,magneticcompass.jpg,motorcycle.jpg,swordfish.jpg,car.jpg,cloud.jpg,62.662630400000126,65.41250510000009,62.662630400000126,65.41250510000009,65.12913690000005,None,0,0,,65.62909790000049,None,65.62909790000049,None,False,.\resources\tulip02.jpg,67.14573830000063,None,67.14573830000063,None,right,0.3106363999995665,67.14573830000063,None,67.49563940000007,None,67.49563940000007,None,right,0.20081240000035905,67.49563940000007,None,67.71229650000078,None,68.71225972000056,None,None,68.71225972000056,None,,001,2021_Mar_16_1043,AB_pic,2020.2.10,59.97386339040999,
