trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,flipper,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,lag2,2,5,7,0.07,0.03,0,0,0,90,toyanimal05.jpg,hockeypuck.jpg,helicopter.jpg,doghouse.jpg,jeep.jpg,marble.jpg,frisbee.jpg,key07.jpg,pingpongtable.jpg,cashregister01.jpg,discoball.jpg,basketball01.jpg,panda.jpg,airhockeytable.jpg,bow.jpg,scorpion.jpg,slug.jpg,5.110980599999493,7.86834110000018,5.110980599999493,7.86834110000018,7.51837230000001,None,0,0,9,8.001648999999816,None,8.001648999999816,None,False,.\resources\frisbee.jpg,9.001162100000329,None,True,9.001162100000329,None,right,6.815830100000312,9.001162100000329,None,15.850696999999855,None,True,15.850696999999855,None,left,1.006439699999646,15.850696999999855,None,16.884023270000124,None,None,16.884023270000124,None,,001,2021_Mar_16_1105,AB_pic,2020.2.10,59.99862003181778,
AB,lag6,6,5,11,0.07,0.03,0,1,1,21,panda.jpg,granolabar01.jpg,scorpion.jpg,boat.jpg,africanelephant.jpg,frisbee.jpg,holdfast.jpg,popcorn.jpg,shovel01.jpg,doghouse.jpg,pingpongtable.jpg,harmonica.jpg,jeep.jpg,key07.jpg,marble.jpg,helicopter.jpg,cashregister01.jpg,16.900663800000075,19.650479500000074,16.900663800000075,19.650479500000074,19.383845800000017,None,0,0,13,19.900454999999965,None,19.900454999999965,None,False,.\resources\pingpongtable.jpg,21.3003705000001,None,True,21.3003705000001,None,right,1.2766629000007015,21.3003705000001,None,22.6169203999998,None,True,22.6169203999998,None,right,0.26412580000032904,22.6169203999998,None,22.90025897000005,None,None,22.90025897000005,None,,001,2021_Mar_16_1105,AB_pic,2020.2.10,59.99862003181778,
AB,lag2,2,4,6,0.07,0.03,0,2,2,28,hockeypuck.jpg,shovel01.jpg,elbow.jpg,bow.jpg,paperairplane.jpg,africanelephant.jpg,bumpercar.jpg,rooster.jpg,arrow02.jpg,marble.jpg,airhockeytable.jpg,fridge.jpg,holdfast.jpg,sausage.jpg,badmintonracket.jpg,basketball01.jpg,popcorn.jpg,22.91692409999996,25.666736399999536,22.91692409999996,25.666736399999536,25.400091299999985,None,0,1,8,25.90005779999956,None,25.90005779999956,None,False,.\resources\africanelephant.jpg,26.816686199999822,None,True,26.816686199999822,None,right,2.088439600000129,26.816686199999822,None,28.949879799999508,None,False,28.949879799999508,None,left,0.32318450000002485,28.949879799999508,None,29.2998479699997,None,None,29.2998479699997,None,,001,2021_Mar_16_1105,AB_pic,2020.2.10,59.99862003181778,
AB,lag3,3,5,8,0.07,0.03,0,3,3,54,africanelephant.jpg,bumpercar.jpg,badmintonracket.jpg,cashregister01.jpg,granolabar01.jpg,snowboard.jpg,shovel01.jpg,doghouse.jpg,athleticsock.jpg,toyanimal05.jpg,slug.jpg,sausage.jpg,harmonica.jpg,fridge.jpg,scorpion.jpg,mrpotatohead.jpg,urinal.jpg,29.316496399999778,32.06630909999967,29.316496399999778,32.06630909999967,31.799661699999888,None,0,0,10,32.299670100000185,None,32.299670100000185,None,False,.\resources\doghouse.jpg,33.41621550000036,None,True,33.41621550000036,None,right,2.7287555000002612,33.41621550000036,None,36.18270990000019,None,True,36.18270990000019,None,right,0.3064195999995718,36.18270990000019,None,36.5160379699998,None,None,36.5160379699998,None,,001,2021_Mar_16_1105,AB_pic,2020.2.10,59.99862003181778,
AB,lag7,7,5,12,0.07,0.03,0,4,4,19,marble.jpg,arrow02.jpg,calendar.jpg,recyclingbin.jpg,mrpotatohead.jpg,rooster.jpg,elbow.jpg,cashregister01.jpg,key07.jpg,panda.jpg,jeep.jpg,bow.jpg,shovel01.jpg,swing.jpg,helicopter.jpg,paperairplane.jpg,popcorn.jpg,36.5326941000003,39.28292929999952,36.5326941000003,39.28292929999952,39.01629539999976,None,0,0,,39.51583579999988,None,39.51583579999988,None,False,.\resources\bow.jpg,41.032383099999606,None,True,41.032383099999606,None,right,1.328594499999781,41.032383099999606,None,42.39895999999953,None,True,42.39895999999953,None,right,0.27403850000064267,42.39895999999953,None,42.69894166999957,None,None,42.69894166999957,None,,001,2021_Mar_16_1105,AB_pic,2020.2.10,59.99862003181778,
AB,lag4,4,5,9,0.07,0.03,0,5,5,114,jeep.jpg,bumpercar.jpg,discoball.jpg,shovel01.jpg,granolabar01.jpg,snowboard.jpg,rooster.jpg,paperairplane.jpg,snowshoe.jpg,frisbee.jpg,arrow02.jpg,calendar.jpg,bow.jpg,basketball01.jpg,sausage.jpg,recyclingbin.jpg,africanelephant.jpg,42.71561399999973,45.46585059999961,42.71561399999973,45.46585059999961,45.199200799999744,None,0,1,11,45.71541030000026,None,45.71541030000026,None,False,.\resources\snowshoe.jpg,46.91532970000026,None,True,46.91532970000026,None,right,2.7017313999995167,46.91532970000026,None,49.66513860000032,None,False,49.66513860000032,None,right,1.9518816999998307,49.66513860000032,None,51.648380669999554,None,None,51.648380669999554,None,,001,2021_Mar_16_1105,AB_pic,2020.2.10,59.99862003181778,
AB,lag6,6,5,11,0.07,0.03,0,6,6,45,recyclingbin.jpg,panda.jpg,jeep.jpg,helicopter.jpg,bow.jpg,athleticsock.jpg,calendar.jpg,sausage.jpg,granolabar01.jpg,hockeypuck.jpg,holdfast.jpg,slug.jpg,popcorn.jpg,pingpongtable.jpg,toyanimal05.jpg,scorpion.jpg,bumpercar.jpg,51.66504590000022,54.41482569999971,51.66504590000022,54.41482569999971,54.148201199999676,None,0,1,13,54.66482780000024,None,54.66482780000024,None,False,.\resources\holdfast.jpg,56.064766299999974,None,False,56.064766299999974,None,left,1.6642142000000604,56.064766299999974,None,57.76460419999967,None,True,57.76460419999967,None,left,0.8604175000000396,57.76460419999967,None,58.64792166999969,None,None,58.64792166999969,None,,001,2021_Mar_16_1105,AB_pic,2020.2.10,59.99862003181778,
AB,lag6,6,5,11,0.07,0.03,0,7,7,126,doghouse.jpg,airhockeytable.jpg,pingpongtable.jpg,jeep.jpg,helicopter.jpg,boat.jpg,urinal.jpg,frisbee.jpg,granolabar01.jpg,snowshoe.jpg,badmintonracket.jpg,holdfast.jpg,africanelephant.jpg,popcorn.jpg,paperairplane.jpg,bow.jpg,hockeypuck.jpg,58.66455239999959,61.4143611999998,58.66455239999959,61.4143611999998,61.14771010000004,None,0,0,13,61.66434969999955,None,61.66434969999955,None,False,.\resources\badmintonracket.jpg,63.064276099999915,None,True,63.064276099999915,None,right,2.97675369999979,63.064276099999915,None,66.08074140000008,None,True,66.08074140000008,None,right,1.4243235000003551,66.08074140000008,None,67.53064487000002,None,None,67.53064487000002,None,,001,2021_Mar_16_1105,AB_pic,2020.2.10,59.99862003181778,
AB,lag5,5,5,10,0.07,0.03,0,8,8,100,africanelephant.jpg,athleticsock.jpg,calendar.jpg,discoball.jpg,doghouse.jpg,bumpercar.jpg,slug.jpg,boat.jpg,paperairplane.jpg,frisbee.jpg,rooster.jpg,badmintonracket.jpg,cashregister01.jpg,key07.jpg,basketball01.jpg,bow.jpg,granolabar01.jpg,67.54730959999961,70.29753309999978,67.54730959999961,70.29753309999978,70.0308887000001,None,0,0,12,70.53042619999997,None,70.53042619999997,None,False,.\resources\frisbee.jpg,71.84700539999994,None,True,71.84700539999994,None,right,2.313950599999771,71.84700539999994,None,74.19684880000023,None,True,74.19684880000023,None,right,7.3882315000000744,74.19684880000023,None,81.61306196999949,None,None,81.61306196999949,None,,001,2021_Mar_16_1105,AB_pic,2020.2.10,59.99862003181778,
AB,lag6,6,5,11,0.07,0.03,0,9,9,135,fridge.jpg,hockeypuck.jpg,harmonica.jpg,key07.jpg,swing.jpg,toyanimal05.jpg,jeep.jpg,africanelephant.jpg,pingpongtable.jpg,mrpotatohead.jpg,rooster.jpg,scorpion.jpg,helicopter.jpg,basketball01.jpg,granolabar01.jpg,bow.jpg,calendar.jpg,81.62969619999967,84.37994960000015,81.62969619999967,84.37994960000015,84.11332200000015,None,0,0,13,84.61284590000014,None,84.61284590000014,None,False,.\resources\rooster.jpg,86.02940020000005,None,True,86.02940020000005,None,right,1.0196102999998402,86.02940020000005,None,87.09601109999949,None,True,87.09601109999949,None,right,1.4410809000000881,87.09601109999949,None,88.56259796999957,None,None,88.56259796999957,None,,001,2021_Mar_16_1105,AB_pic,2020.2.10,59.99862003181778,
