trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,5.763879300007829,None,space,1.1874102000001585,5.763879300007829,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1032,AB_pic,2020.2.10,59.9898017363631,
AB,lag4,4,5,9,0.2,0.05,0.5,0,0,0,20,,,,,,,nose.jpg,electrictoothbrush01c.jpg,safe.jpg,footballhelmet.jpg,fridge.jpg,cigar.jpg,bumpercar.jpg,fortunecookie.jpg,greathornowl.jpg,handcuffs.jpg,firehydrant.jpg,tank.jpg,tennisracket.jpg,bat.jpg,swordfish.jpg,ironingboard01.jpg,scorpion.jpg,7.019100999998045,9.769088100001682,7.019100999998045,9.769088100001682,9.50244169999496,None,1,0,11,10.002412400004687,None,10.002412400004687,None,.\resources\greathornowl.jpg,12.985322100008489,None,1,12.985322100008489,None,left,0.6619012000010116,12.985322100008489,None,13.668622700002743,None,1,13.668622700002743,None,right,0.226575499997125,13.668622700002743,None,13.918616700000712,None,14.91852895000775,None,None,14.91852895000775,None,,001,2021_Mar_17_1032,AB_pic,2020.2.10,59.9898017363631,
AB,lag7,7,5,12,0.2,0.05,0.5,0,1,1,7,,,,,,,ironingboard01.jpg,windshieldwiper02.jpg,holdfast.jpg,moose.jpg,lollipop04.jpg,harmonica.jpg,safe.jpg,bat.jpg,fortunecookie.jpg,tennisracket.jpg,electrictoothbrush01c.jpg,greathornowl.jpg,crab01.jpg,bumpercar.jpg,firehydrant.jpg,swordfish.jpg,handcuffs.jpg,14.918531999996048,17.668572499998845,14.918531999996048,17.668572499998845,17.401922999997623,None,1,0,14,17.90188340000168,None,17.90188340000168,None,.\resources\greathornowl.jpg,21.651425799995195,None,1,21.651425799995195,None,left,0.563807899990934,21.651425799995195,None,22.23474630000419,None,1,22.23474630000419,None,right,0.22075829999812413,22.23474630000419,None,22.4847116000019,None,23.484657150000565,None,None,23.484657150000565,None,,001,2021_Mar_17_1032,AB_pic,2020.2.10,59.9898017363631,
AB,lag4,4,3,7,0.2,0.05,0.5,0,2,2,1,,,,,,,ironingboard01.jpg,cigar.jpg,greathornowl.jpg,crab01.jpg,polarbear.jpg,lightswitch01.jpg,handcuffs.jpg,bumpercar.jpg,windshieldwiper02.jpg,tank.jpg,lollipop04.jpg,toyanimal05.jpg,treadmill.jpg,swordfish.jpg,tennisracket.jpg,fishingrod.jpg,fridge.jpg,23.501297399998293,26.25137569999788,23.501297399998293,26.25137569999788,25.98469810000097,None,0,0,9,26.484644500000286,None,26.484644500000286,None,.\resources\handcuffs.jpg,28.9843794000044,None,1,28.9843794000044,None,right,0.4947991999943042,28.9843794000044,None,29.50106370000867,None,1,29.50106370000867,None,right,0.23422840000421274,29.50106370000867,None,29.750982600002317,None,30.750986449993796,None,None,30.750986449993796,None,,001,2021_Mar_17_1032,AB_pic,2020.2.10,59.9898017363631,
AB,lag2,2,5,7,0.2,0.05,0.5,0,3,3,9,,,,,,,swordfish.jpg,crab01.jpg,fridge.jpg,fortunecookie.jpg,windshieldwiper02.jpg,moose.jpg,firehydrant.jpg,bowtie.jpg,polarbear.jpg,electrictoothbrush01c.jpg,tank.jpg,greathornowl.jpg,safe.jpg,fishingrod.jpg,tennisracket.jpg,toyanimal05.jpg,lollipop04.jpg,30.76764550000371,33.51797329999681,30.76764550000371,33.51797329999681,33.23454410000704,None,1,0,9,33.734205600005225,None,33.734205600005225,None,.\resources\firehydrant.jpg,36.250694999995176,None,1,36.250694999995176,None,left,1.1965225000021746,36.250694999995176,None,37.48409410000022,None,1,37.48409410000022,None,right,0.20318870000483003,37.48409410000022,None,37.733916500001214,None,38.73386485000665,None,None,38.73386485000665,None,,001,2021_Mar_17_1032,AB_pic,2020.2.10,59.9898017363631,
AB,lag4,4,4,8,0.2,0.05,0.5,0,4,4,13,,,,,,,toyanimal05.jpg,harmonica.jpg,treadmill.jpg,cigar.jpg,fridge.jpg,bat.jpg,bowtie.jpg,football.jpg,polarbear.jpg,lollipop04.jpg,crab01.jpg,fortunecookie.jpg,bumpercar.jpg,electrictoothbrush01c.jpg,safe.jpg,moose.jpg,ironingboard01.jpg,38.75052860000869,41.50035470000876,38.75052860000869,41.50035470000876,41.2170569000009,None,1,1,10,41.733824700000696,None,41.733824700000696,None,.\resources\football.jpg,44.48348870000336,None,1,44.48348870000336,None,left,1.0678669000044465,44.48348870000336,None,45.60022530000424,None,1,45.60022530000424,None,left,0.18305629999667872,45.60022530000424,None,45.81671470000583,None,46.816663249998236,None,None,46.816663249998236,None,,001,2021_Mar_17_1032,AB_pic,2020.2.10,59.9898017363631,
AB,lag7,7,3,10,0.2,0.05,0.5,0,5,5,15,,,,,,,footballhelmet.jpg,scorpion.jpg,greathornowl.jpg,harmonica.jpg,holdfast.jpg,windshieldwiper02.jpg,fortunecookie.jpg,lollipop04.jpg,bat.jpg,fishingrod.jpg,football.jpg,handcuffs.jpg,tank.jpg,lightswitch01.jpg,nose.jpg,ironingboard01.jpg,firehydrant.jpg,46.83332960000553,49.5831712000072,46.83332960000553,49.5831712000072,49.29984669999976,None,1,0,12,49.79981009999756,None,49.79981009999756,None,.\resources\fishingrod.jpg,53.066254699995625,None,1,53.066254699995625,None,left,0.9249293999891961,53.066254699995625,None,54.03284379999968,None,1,54.03284379999968,None,right,0.20648380000784528,54.03284379999968,None,54.2828523000062,None,55.28277315000596,None,None,55.28277315000596,None,,001,2021_Mar_17_1032,AB_pic,2020.2.10,59.9898017363631,
AB,lag2,2,4,6,0.2,0.05,0.5,0,6,6,27,,,,,,,greathornowl.jpg,tennisracket.jpg,moose.jpg,windshieldwiper02.jpg,football.jpg,holdfast.jpg,electrictoothbrush01c.jpg,harmonica.jpg,toyanimal05.jpg,polarbear.jpg,fridge.jpg,cigar.jpg,lightswitch01.jpg,safe.jpg,firehydrant.jpg,bowtie.jpg,tank.jpg,55.29945750000479,58.049256099999184,55.29945750000479,58.049256099999184,57.76594520000799,None,1,0,8,58.26591539999936,None,58.26591539999936,None,.\resources\holdfast.jpg,60.53240490000462,None,1,60.53240490000462,None,left,0.9068021000130102,60.53240490000462,None,61.48251159999927,None,0,61.48251159999927,None,left,0.20467949999147095,61.48251159999927,None,61.73232910000661,None,62.732285249998675,None,None,62.732285249998675,None,,001,2021_Mar_17_1032,AB_pic,2020.2.10,59.9898017363631,
AB,lag7,7,5,12,0.2,0.05,0.5,0,7,7,21,,,,,,,scorpion.jpg,tank.jpg,bowtie.jpg,polarbear.jpg,fishingrod.jpg,harmonica.jpg,swordfish.jpg,cigar.jpg,handcuffs.jpg,toyanimal05.jpg,fortunecookie.jpg,bumpercar.jpg,firehydrant.jpg,holdfast.jpg,fridge.jpg,lollipop04.jpg,nose.jpg,62.74907449999591,65.49878080000053,62.74907449999591,65.49878080000053,65.23212080000667,None,1,0,14,65.73205839999719,None,65.73205839999719,None,.\resources\bumpercar.jpg,69.49849080000422,None,1,69.49849080000422,None,left,0.788679699995555,69.49849080000422,None,70.33176680000906,None,1,70.33176680000906,None,right,0.107389000011608,70.33176680000906,None,70.48175790000823,None,71.48168264999404,None,None,71.48168264999404,None,,001,2021_Mar_17_1032,AB_pic,2020.2.10,59.9898017363631,
,,,,,,,,,,,,,,,,,,cigar.jpg,bumpercar.jpg,nose.jpg,firehydrant.jpg,swordfish.jpg,windshieldwiper02.jpg,polarbear.jpg,lollipop04.jpg,fridge.jpg,scorpion.jpg,holdfast.jpg,bat.jpg,lightswitch01.jpg,fishingrod.jpg,tank.jpg,toyanimal05.jpg,crab01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
