trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,5.598294700001134,None,space,76.4711696000013,5.598294700001134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1052,AB_pic,2020.2.10,59.99728811938894,
AB,lag3,3,4,7,0.2,0.05,0.5,0,0,0,22,,,,,,,mrpotatohead.jpg,frenchfries.jpg,bench01.jpg,hammerheadshark.jpg,christmaslights.jpg,footballhelmet.jpg,dragonfly01.jpg,shower.jpg,rubikcube.jpg,cobra.jpg,swing.jpg,lightswitch01.jpg,showerhead01.jpg,jeans01.jpg,horseshoe.jpg,acorn.jpg,fireplace.jpg,82.16511970000283,84.9145559000026,82.16511970000283,84.9145559000026,84.64786529999401,None,0,1,9,85.1480481000035,None,85.1480481000035,None,.\resources\dragonfly01.jpg,87.64769749999687,None,1,87.64769749999687,None,right,0.8296897999971407,87.64769749999687,None,88.51428550000128,None,1,88.51428550000128,None,left,0.3231182000017725,88.51428550000128,None,88.88107279999531,None,89.88087361999787,None,None,89.88087361999787,None,,001,2021_Mar_17_1052,AB_pic,2020.2.10,59.99728811938894,
AB,lag4,4,4,8,0.2,0.05,0.5,0,1,1,26,,,,,,,dragonfly01.jpg,nunchuk.jpg,horseshoe.jpg,alligator.jpg,swing.jpg,fireplace.jpg,tie02.jpg,christmaslights.jpg,bench01.jpg,saltshaker03a.jpg,hammerheadshark.jpg,ducttape.jpg,schoolbus.jpg,showerhead01.jpg,jeans01.jpg,mrpotatohead.jpg,footballhelmet.jpg,89.89754160000302,92.6473704999953,89.89754160000302,92.6473704999953,92.36408820000361,None,1,1,10,92.86398730000656,None,92.86398730000656,None,.\resources\christmaslights.jpg,95.63065409999399,None,1,95.63065409999399,None,left,1.334822599994368,95.63065409999399,None,96.99705799999356,None,1,96.99705799999356,None,left,0.3363775000034366,96.99705799999356,None,97.36372769999434,None,98.36379302000277,None,None,98.36379302000277,None,,001,2021_Mar_17_1052,AB_pic,2020.2.10,59.99728811938894,
AB,lag7,7,5,12,0.2,0.05,0.5,0,2,2,7,,,,,,,alligator.jpg,hammerheadshark.jpg,dragonfly01.jpg,acorn.jpg,swing.jpg,bench01.jpg,showerhead01.jpg,honeybee.jpg,rubikcube.jpg,tie02.jpg,cobra.jpg,ducttape.jpg,cannon.jpg,christmaslights.jpg,footballhelmet.jpg,shower.jpg,licenseplate.jpg,98.38034160000097,101.13012600000366,98.38034160000097,101.13012600000366,100.84679140000662,None,0,0,14,101.34681200000341,None,101.34681200000341,None,.\resources\ducttape.jpg,105.11320229999546,None,1,105.11320229999546,None,right,0.7641644999966957,105.11320229999546,None,105.91317329999583,None,1,105.91317329999583,None,right,0.5402680999977747,105.91317329999583,None,106.47977239999454,None,107.4797014199983,None,None,107.4797014199983,None,,001,2021_Mar_17_1052,AB_pic,2020.2.10,59.99728811938894,
AB,lag5,5,3,8,0.2,0.05,0.5,0,3,3,19,,,,,,,honeybee.jpg,tie02.jpg,fireplace.jpg,swing.jpg,rubikcube.jpg,dragonfly01.jpg,christmaslights.jpg,jeans01.jpg,frenchfries.jpg,hammerheadshark.jpg,acorn.jpg,footballhelmet.jpg,showerhead01.jpg,schoolbus.jpg,saltshaker03a.jpg,penguin.jpg,shower.jpg,107.49650759999349,110.24619370000437,107.49650759999349,110.24619370000437,109.97951710000052,None,0,1,10,110.47950230000424,None,110.47950230000424,None,.\resources\jeans01.jpg,113.24615409999387,None,1,113.24615409999387,None,right,1.2072851000120863,113.24615409999387,None,114.49589299999934,None,1,114.49589299999934,None,left,0.39751490000344347,114.49589299999934,None,114.9291927000013,None,115.92914662000548,None,None,115.92914662000548,None,,001,2021_Mar_17_1052,AB_pic,2020.2.10,59.99728811938894,
AB,lag6,6,4,10,0.2,0.05,0.5,0,4,4,24,,,,,,,harmonica.jpg,mouse.jpg,honeybee.jpg,swing.jpg,frenchfries.jpg,rubikcube.jpg,cobra.jpg,ducttape.jpg,schoolbus.jpg,saltshaker03a.jpg,tie02.jpg,licenseplate.jpg,turnstile.jpg,shower.jpg,showerhead01.jpg,hammerheadshark.jpg,christmaslights.jpg,115.94576909999887,118.69605070000398,115.94576909999887,118.69605070000398,118.41270539999823,None,1,0,12,118.91225229999691,None,118.91225229999691,None,.\resources\saltshaker03a.jpg,122.17870519999997,None,1,122.17870519999997,None,left,1.0668552999995882,122.17870519999997,None,123.27874179999344,None,1,123.27874179999344,None,right,0.47100229999341536,123.27874179999344,None,123.7786172000051,None,124.77851981999702,None,None,124.77851981999702,None,,001,2021_Mar_17_1052,AB_pic,2020.2.10,59.99728811938894,
AB,lag4,4,3,7,0.2,0.05,0.5,0,5,5,1,,,,,,,jeans01.jpg,turnstile.jpg,harmonica.jpg,showerhead01.jpg,fireplace.jpg,horseshoe.jpg,swing.jpg,footballhelmet.jpg,hammerheadshark.jpg,licenseplate.jpg,mrpotatohead.jpg,alligator.jpg,cannon.jpg,dragonfly01.jpg,christmaslights.jpg,tie02.jpg,honeybee.jpg,124.79519279999658,127.54550199999358,124.79519279999658,127.54550199999358,127.26212060000398,None,1,0,9,127.77872319999733,None,127.77872319999733,None,.\resources\swing.jpg,130.27817429999413,None,1,130.27817429999413,None,left,2.663158700001077,130.27817429999413,None,132.97798539999349,None,1,132.97798539999349,None,right,0.5553895000048215,132.97798539999349,None,133.57793670000683,None,134.5778749200079,None,None,134.5778749200079,None,,001,2021_Mar_17_1052,AB_pic,2020.2.10,59.99728811938894,
AB,lag2,2,5,7,0.2,0.05,0.5,0,6,6,9,,,,,,,footballhelmet.jpg,turnstile.jpg,cobra.jpg,jeans01.jpg,horseshoe.jpg,nunchuk.jpg,dragonfly01.jpg,swing.jpg,acorn.jpg,alligator.jpg,penguin.jpg,honeybee.jpg,fireplace.jpg,hammerheadshark.jpg,lightswitch01.jpg,frenchfries.jpg,shower.jpg,134.59466040000552,137.34442809999746,134.59466040000552,137.34442809999746,137.07776169999852,None,0,1,9,137.57774199999403,None,137.57774199999403,None,.\resources\dragonfly01.jpg,140.09439310000744,None,1,140.09439310000744,None,right,1.206964600001811,140.09439310000744,None,141.34426660000463,None,1,141.34426660000463,None,left,0.46107600000686944,141.34426660000463,None,141.82742260000668,None,142.82734872000293,None,None,142.82734872000293,None,,001,2021_Mar_17_1052,AB_pic,2020.2.10,59.99728811938894,
AB,lag7,7,3,10,0.2,0.05,0.5,0,7,7,15,,,,,,,dragonfly01.jpg,jeans01.jpg,christmaslights.jpg,showerhead01.jpg,rubikcube.jpg,alligator.jpg,cannon.jpg,saltshaker03a.jpg,penguin.jpg,tie02.jpg,ducttape.jpg,lightswitch01.jpg,mrpotatohead.jpg,turnstile.jpg,schoolbus.jpg,honeybee.jpg,fireplace.jpg,142.84402550000232,145.59384289999434,142.84402550000232,145.59384289999434,145.32717180000327,None,1,1,12,145.82713750000403,None,145.82713750000403,None,.\resources\tie02.jpg,149.09358939999947,None,1,149.09358939999947,None,left,1.2236971000093035,149.09358939999947,None,150.360276899999,None,1,150.360276899999,None,left,0.341043600012199,150.360276899999,None,150.7267695000046,None,151.7267335199984,None,None,151.7267335199984,None,,001,2021_Mar_17_1052,AB_pic,2020.2.10,59.99728811938894,
AB,lag2,2,3,5,0.2,0.05,0.5,0,8,8,18,,,,,,,fireplace.jpg,hammerheadshark.jpg,mrpotatohead.jpg,footballhelmet.jpg,bench01.jpg,mouse.jpg,acorn.jpg,shower.jpg,cannon.jpg,christmaslights.jpg,honeybee.jpg,frenchfries.jpg,turnstile.jpg,swing.jpg,licenseplate.jpg,lightswitch01.jpg,showerhead01.jpg,151.74356380000245,154.49363840000296,151.74356380000245,154.49363840000296,154.21030859999883,None,1,1,7,154.70986420000554,None,154.70986420000554,None,.\resources\bench01.jpg,156.726413700002,None,1,156.726413700002,None,left,0.807031399992411,156.726413700002,None,157.5763564999943,None,1,157.5763564999943,None,left,0.4371199000015622,157.5763564999943,None,158.05966040000203,None,159.05958352000454,None,None,159.05958352000454,None,,001,2021_Mar_17_1052,AB_pic,2020.2.10,59.99728811938894,
