trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,option1_2.started,option1_2.stopped,option2_2.started,option2_2.stopped,text_5.started,text_5.stopped,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,displayPicture_3.started,displayPicture_3.stopped,polygon_13.started,polygon_13.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_6.started,polygon_6.stopped,option1_t2_2.started,option1_t2_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,t14,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,163.27447080001002,None,space,1.6033012000116287,163.27447080001002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1206,AB_pic,2020.2.10,59.985735395237384,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,0,0,0,,,,,,,,,,,frisbee.jpg,hotdogweiner.jpg,eiffeltower.jpg,skateboard.jpg,chimney.jpg,crosscountryski.jpg,cobra.jpg,electrictoothbrush01c.jpg,uprightpiano01.jpg,peacock.jpg,panda.jpg,baseballbat.jpg,footballhelmet.jpg,bench01.jpg,jackrabbit.jpg,donut.jpg,helicopter.jpg,164.97171520000848,167.72107200000028,164.97171520000848,167.72107200000028,167.45440420000523,None,0,1,13,167.95445440000913,None,167.95445440000913,None,.\resources\panda.jpg,171.4541925000085,None,1,171.4541925000085,None,right,0.9283328000019537,171.4541925000085,None,172.4207616000058,None,1,172.4207616000058,None,left,0.23306529999535996,172.4207616000058,None,172.68740740000794,None,173.68731521000154,None,None,173.68731521000154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1206,AB_pic,2020.2.10,59.985735395237384,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.70417250000173,None,space,1.5803864999907091,173.70417250000173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1206,AB_pic,2020.2.10,59.985735395237384,
AB,lag6,6,5,11,0.2,0.05,0.5,ramp,,,,,0,0,0,0,,,,,,,baseballbat.jpg,peacock.jpg,ladder.jpg,frenchfries.jpg,cobra.jpg,skateboard.jpg,frisbee.jpg,uprightpiano01.jpg,kite.jpg,bench01.jpg,electrictoothbrush01c.jpg,seal.jpg,panda.jpg,ipad02.jpg,cloud.jpg,helicopter.jpg,footballhelmet.jpg,,,,,,,0,0,13,,,,,.\resources\electrictoothbrush01c.jpg,,,1,,,,,,,,,1,,,,,,,,,182.503424909999,None,None,182.503424909999,None,,,,,,,175.37100780000037,178.12037860001146,175.37100780000037,178.12037860001146,177.83706740000343,None,0.265909499998088,0.5158824999962235,0.7658709999959683,1.0158566999889445,1.2657953000016278,1.5158492999908049,1.7658035999920685,2.0157935000024736,2.2657775999978185,2.5157085999962874,2.7657517999905394,3.015726199999335,3.265738699992653,3.515694399990025,178.33716550000827,None,178.33716550000827,None,181.85348020000674,None,181.85348020000674,None,right,0.43272450000222307,181.85348020000674,None,182.32010360001004,None,182.32010360001004,None,right,0.15774100000271574,182.32010360001004,None,,,001,2021_Mar_17_1206,AB_pic,2020.2.10,59.985735395237384,
AB,lag4,4,4,8,0.193334,0.05,0.48,ramp,,,,,0,1,1,1,,,,,,,frenchfries.jpg,chefshat.jpg,baseballbat.jpg,seal.jpg,electrictoothbrush01c.jpg,footballhelmet.jpg,frisbee.jpg,helicopter.jpg,lily.jpg,crosscountryski.jpg,peacock.jpg,cloud.jpg,bench01.jpg,knee.jpg,arrow02.jpg,cheetah.jpg,nosmokingsign.jpg,,,,,,,0,0,10,,,,,.\resources\helicopter.jpg,,,1,,,,,,,,,1,,,,,,,,,188.85298341000453,None,None,188.85298341000453,None,,,,,,,182.52023870000266,185.26991280000948,182.52023870000266,185.26991280000948,185.0032646000036,None,0.2481670999986818,0.4981524999893736,0.7314901999925496,0.9815057999949204,1.2314438999892445,1.4647635999863269,1.714737399990554,1.9480412999982946,2.1980317999987165,2.4480344999901718,2.6813978999998653,,,,185.50325680000242,None,185.50325680000242,None,188.2030453000043,None,188.2030453000043,None,right,0.4189883000071859,188.2030453000043,None,188.66966470000625,None,188.66966470000625,None,right,0.1522450999909779,188.66966470000625,None,,,001,2021_Mar_17_1206,AB_pic,2020.2.10,59.985735395237384,
AB,lag7,7,4,11,0.186668,0.05,0.45999999999999996,ramp,,,,,0,2,2,2,,,,,,,frisbee.jpg,uprightpiano01.jpg,knee.jpg,seal.jpg,helicopter.jpg,bench01.jpg,chefshat.jpg,peacock.jpg,crosscountryski.jpg,panda.jpg,frenchfries.jpg,donut.jpg,corn02.jpg,eiffeltower.jpg,electrictoothbrush01c.jpg,skateboard.jpg,ipad02.jpg,,,,,,,0,1,13,,,,,.\resources\frenchfries.jpg,,,1,,,,,,,,,1,,,,,,,,,195.93588101000933,None,None,195.93588101000933,None,,,,,,,188.86965690000216,191.61946050000552,188.86965690000216,191.61946050000552,191.35283380000328,None,0.24725839999155141,0.4805898999911733,0.7138988999940921,0.9472064999863505,1.1972501999989618,1.4306700999877648,1.663862599991262,1.8971620999946026,2.130525399988983,2.3804494999931194,2.613790399991558,2.84709219999786,3.080485599988606,3.3137282999960007,191.85280870000133,None,191.85280870000133,None,195.18606390000787,None,195.18606390000787,None,right,0.45169099999475293,195.18606390000787,None,195.68589920000522,None,195.68589920000522,None,left,0.23198660000343807,195.68589920000522,None,,,001,2021_Mar_17_1206,AB_pic,2020.2.10,59.985735395237384,
AB,lag5,5,5,10,0.180002,0.05,0.43999999999999995,ramp,,,,,0,3,3,3,,,,,,,hotdogweiner.jpg,seal.jpg,knee.jpg,bench01.jpg,jackrabbit.jpg,ladder.jpg,peacock.jpg,corn02.jpg,eiffeltower.jpg,chimney.jpg,frisbee.jpg,kite.jpg,crosscountryski.jpg,ipad02.jpg,helicopter.jpg,cheetah.jpg,nosmokingsign.jpg,,,,,,,1,0,12,,,,,.\resources\chimney.jpg,,,1,,,,,,,,,1,,,,,,,,,202.63542021000467,None,None,202.63542021000467,None,,,,,,,195.96919720000005,198.71900730000925,195.96919720000005,198.71900730000925,198.43569730001036,None,0.2316634000017075,0.4649398000037763,0.6982719999941764,0.9315788999956567,1.1649441000045044,1.3815495000017108,1.61485110000649,1.8481767000048421,2.08144270000048,2.314847000001464,2.5314738000015495,2.7647613000008278,2.9981274000019766,,198.93566260000807,None,198.93566260000807,None,201.95213720000174,None,201.95213720000174,None,left,0.42975579999620095,201.95213720000174,None,202.41876010000124,None,202.41876010000124,None,right,0.19500419999531005,202.41876010000124,None,,,001,2021_Mar_17_1206,AB_pic,2020.2.10,59.985735395237384,
AB,lag2,2,3,5,0.173336,0.05,0.41999999999999993,ramp,,,,,0,4,4,4,,,,,,,helicopter.jpg,electrictoothbrush01c.jpg,footballhelmet.jpg,panda.jpg,ipad02.jpg,seal.jpg,lily.jpg,jackrabbit.jpg,eiffeltower.jpg,kite.jpg,uprightpiano01.jpg,arrow02.jpg,skateboard.jpg,cobra.jpg,nosmokingsign.jpg,chimney.jpg,ladder.jpg,,,,,,,1,1,7,,,,,.\resources\ipad02.jpg,,,1,,,,,,,,,1,,,,,,,,,208.7183519100072,None,None,208.7183519100072,None,,,,,,,202.65210040000966,205.40190240000084,202.65210040000966,205.40190240000084,205.13525110000046,None,0.23135660000843927,0.4480503999948269,0.6813724999956321,0.8980215000046883,1.1313337000028696,1.3479937999945832,1.564727999997558,1.7979377000010572,,,,,,,205.63522470000316,None,205.63522470000316,None,207.45176840000204,None,207.45176840000204,None,left,1.050114300000132,207.45176840000204,None,208.53514089999953,None,208.53514089999953,None,left,0.15913670000736602,208.53514089999953,None,,,001,2021_Mar_17_1206,AB_pic,2020.2.10,59.985735395237384,
AB,lag3,3,5,8,0.16666999999999998,0.05,0.3999999999999999,ramp,,,,,0,5,5,5,,,,,,,lily.jpg,arrow02.jpg,hotdogweiner.jpg,frenchfries.jpg,crosscountryski.jpg,kite.jpg,baseballbat.jpg,bench01.jpg,peacock.jpg,helicopter.jpg,chimney.jpg,donut.jpg,jackrabbit.jpg,ipad02.jpg,cobra.jpg,chefshat.jpg,frisbee.jpg,,,,,,,0,1,10,,,,,.\resources\bench01.jpg,,,1,,,,,,,,,1,,,,,,,,,215.41792130999966,None,None,215.41792130999966,None,,,,,,,208.7349719000049,211.48521880000771,208.7349719000049,211.48521880000771,211.21856990001106,None,0.23116809999919496,0.4477712999942014,0.6643952000013087,0.8810643000033451,1.0977125000063097,1.3143794000061462,1.5310536000033608,1.7476648000010755,1.96433899999829,2.181037300004391,2.3977015999989817,,,,211.7181023000012,None,211.7181023000012,None,214.1348563000065,None,214.1348563000065,None,right,1.046927199990023,214.1348563000065,None,215.21792590001132,None,215.21792590001132,None,left,0.17209870000078809,215.21792590001132,None,,,001,2021_Mar_17_1206,AB_pic,2020.2.10,59.985735395237384,
AB,lag1,1,4,5,0.16000399999999998,0.05,0.3799999999999999,ramp,,,,,0,6,6,6,,,,,,,jackrabbit.jpg,eiffeltower.jpg,chimney.jpg,lily.jpg,kite.jpg,footballhelmet.jpg,electrictoothbrush01c.jpg,crosscountryski.jpg,ipad02.jpg,cobra.jpg,peacock.jpg,uprightpiano01.jpg,seal.jpg,skateboard.jpg,ladder.jpg,corn02.jpg,donut.jpg,,,,,,,1,0,7,,,,,.\resources\kite.jpg,,,1,,,,,,,,,1,,,,,,,,,221.30085201001202,None,None,221.30085201001202,None,,,,,,,215.4347213000001,218.18485640001018,215.4347213000001,218.18485640001018,217.91820980000193,None,0.21458159999747295,0.4316536999976961,0.6312120999937179,0.8478599999943981,1.064523900000495,1.2644954999996116,1.4810979000030784,1.6810890999913681,,,,,,,218.4177231000067,None,218.4177231000067,None,220.117542100008,None,220.117542100008,None,left,1.0242026000050828,220.117542100008,None,221.18430980000994,None,221.18430980000994,None,right,0.09339360000740271,221.18430980000994,None,,,001,2021_Mar_17_1206,AB_pic,2020.2.10,59.985735395237384,
