trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,option1_2.started,option1_2.stopped,option2_2.started,option2_2.stopped,text_5.started,text_5.stopped,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,displayPicture_3.started,displayPicture_3.stopped,polygon_13.started,polygon_13.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_6.started,polygon_6.stopped,option1_t2_2.started,option1_t2_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,t14,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,6.1110743999888655,None,space,0.9547091000131331,6.1110743999888655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1315,AB_pic,2020.2.10,59.98857817329337,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,0,0,0,,,,,,,,,,,boxingglove01.jpg,candycane01a.jpg,hammerheadshark.jpg,triangle.jpg,xylophone.jpg,trophy01.jpg,chair.jpg,alligator.jpg,ant.jpg,africanelephant.jpg,pingpongtable.jpg,mummy.jpg,noparkingsign.jpg,moon.jpg,makiroll.jpg,acousticguitar02.jpg,tortoise01.jpg,7.141335699998308,9.89118399999279,7.141335699998308,9.89118399999279,9.624474699987331,None,1,1,13,10.10779769999499,None,10.10779769999499,None,.\resources\pingpongtable.jpg,13.60731369999121,None,1,13.60731369999121,None,left,1.6744468999968376,13.60731369999121,None,15.32403720000002,None,1,15.32403720000002,None,left,0.23769829999946523,15.32403720000002,None,15.607323699994595,None,16.607244909991277,None,None,16.607244909991277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1315,AB_pic,2020.2.10,59.98857817329337,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6072492999956,None,space,1.8728368999873055,16.6072492999956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1315,AB_pic,2020.2.10,59.98857817329337,
AB,lag6,6,5,11,0.2,0.05,0.5,ramp,,,,,0,0,0,0,,,,,,,trophy01.jpg,flag.jpg,mummy.jpg,ant.jpg,shovel01.jpg,africanelephant.jpg,holdfast.jpg,boxingglove01.jpg,tulip02.jpg,banjo.jpg,hammerheadshark.jpg,makiroll.jpg,alligator.jpg,candycane01a.jpg,acousticguitar02.jpg,dolphin01.jpg,chair.jpg,,,,,,,0,1,13,,,,,.\resources\hammerheadshark.jpg,,,1,,,,,,,,,1,,,,,,,,,26.090075209987116,None,None,26.090075209987116,None,,,,,,,18.557157699993695,21.30735139999888,18.557157699993695,21.30735139999888,21.040370499991695,None,0.26588939999055583,0.5158850000007078,0.7654892999998992,1.0155508999887388,1.2655521999986377,1.5155519999971148,1.7655106000020169,2.015540799999144,2.2654747999913525,2.5154991999879712,2.765494999999646,3.01547009999922,3.265457100002095,3.515384799989988,21.52363109998987,None,21.52363109998987,None,25.05680229999416,None,25.05680229999416,None,right,0.7449221999995643,25.05680229999416,None,25.840093099992373,None,25.840093099992373,None,left,0.2336844000092242,25.840093099992373,None,,,,001,2021_Mar_17_1315,AB_pic,2020.2.10,59.98857817329337,
AB,lag4,4,4,8,0.193334,0.05,0.48,ramp,,,,,0,1,1,1,,,,,,,mummy.jpg,tortoise01.jpg,trophy01.jpg,africanelephant.jpg,bow.jpg,eyepatch.jpg,tulip02.jpg,acousticguitar02.jpg,candycane01a.jpg,alligator.jpg,boxingglove01.jpg,chair.jpg,blender.jpg,moon.jpg,triangle.jpg,holdfast.jpg,penguin.jpg,,,,,,,0,0,10,,,,,.\resources\acousticguitar02.jpg,,,1,,,,,,,,,1,,,,,,,,,32.372997709989434,None,None,32.372997709989434,None,,,,,,,26.106743199998164,28.856591399991885,26.106743199998164,28.856591399991885,28.589907099987613,None,0.24766649999946821,0.49766550000640564,0.7309556999971392,0.9810139000037452,1.2309614999976475,1.4643059999943944,1.7142724000004819,1.9475542000000132,2.197543100002804,2.4475343999947654,2.6809129000030225,,,,29.089911699993536,None,29.089911699993536,None,31.789721599998302,None,31.789721599998302,None,right,0.3320034000062151,31.789721599998302,None,32.156356399995275,None,32.156356399995275,None,right,0.18936200000462122,32.156356399995275,None,,,,001,2021_Mar_17_1315,AB_pic,2020.2.10,59.98857817329337,
AB,lag7,7,4,11,0.186668,0.05,0.45999999999999996,ramp,,,,,0,2,2,2,,,,,,,mummy.jpg,moon.jpg,blender.jpg,triangle.jpg,tortoise01.jpg,cocktailshrimp02.jpg,alligator.jpg,eyepatch.jpg,penguin.jpg,dolphin01.jpg,makiroll.jpg,candycane01a.jpg,chair.jpg,cashregister01.jpg,trophy01.jpg,holdfast.jpg,bow.jpg,,,,,,,0,0,13,,,,,.\resources\makiroll.jpg,,,1,,,,,,,,,1,,,,,,,,,39.40590630998777,None,None,39.40590630998777,None,,,,,,,32.38967689999845,35.13947959999496,32.38967689999845,35.13947959999496,34.87282299999788,None,0.24775789999694098,0.4810870000073919,0.7143956000072649,0.9477297999983421,1.1977131000021473,1.4310012000059942,1.6643171000032453,1.8976053999940632,2.1309834999992745,2.3809652000054484,2.614305900002364,2.8476229999942007,3.080948400005582,3.3142721000040183,35.372802799989586,None,35.372802799989586,None,38.70594339999661,None,38.70594339999661,None,right,0.4317831000080332,38.70594339999661,None,39.172541799998726,None,39.172541799998726,None,right,0.20518299999821465,39.172541799998726,None,,,,001,2021_Mar_17_1315,AB_pic,2020.2.10,59.98857817329337,
AB,lag5,5,5,10,0.180002,0.05,0.43999999999999995,ramp,,,,,0,3,3,3,,,,,,,dolphin01.jpg,tortoise01.jpg,eyepatch.jpg,africanelephant.jpg,alligator.jpg,flag.jpg,boxingglove01.jpg,penguin.jpg,triangle.jpg,pingpongtable.jpg,candycane01a.jpg,blender.jpg,chair.jpg,acousticguitar02.jpg,ant.jpg,cashregister01.jpg,bow.jpg,,,,,,,0,0,12,,,,,.\resources\pingpongtable.jpg,,,1,,,,,,,,,1,,,,,,,,,46.0387609099882,None,None,46.0387609099882,None,,,,,,,39.42256149998866,42.17233109999506,39.42256149998866,42.17233109999506,41.905734599989955,None,0.23101150000002235,0.4643345000076806,0.6976332000049297,0.9309649000060745,1.1642813000071328,1.3809655000077328,1.6142707000108203,1.847601700006635,2.0808937000110745,2.314227700000629,2.530880700011039,2.764228900006856,2.997529200001736,,42.4056622999924,None,42.4056622999924,None,45.42217239999445,None,45.42217239999445,None,right,0.34750530000019353,45.42217239999445,None,45.80540669999027,None,45.80540669999027,None,right,0.21229630000016186,45.80540669999027,None,,,,001,2021_Mar_17_1315,AB_pic,2020.2.10,59.98857817329337,
AB,lag2,2,3,5,0.173336,0.05,0.41999999999999993,ramp,,,,,0,4,4,4,,,,,,,trophy01.jpg,moon.jpg,africanelephant.jpg,bow.jpg,blender.jpg,xylophone.jpg,mummy.jpg,banjo.jpg,candycane01a.jpg,ant.jpg,eyepatch.jpg,makiroll.jpg,tortoise01.jpg,hammerheadshark.jpg,alligator.jpg,holdfast.jpg,acousticguitar02.jpg,,,,,,,1,0,7,,,,,.\resources\blender.jpg,,,1,,,,,,,,,1,,,,,,,,,51.75502270998841,None,None,51.75502270998841,None,,,,,,,46.05538779999188,48.80526549999195,46.05538779999188,48.80526549999195,48.538608499991824,None,0.23144080000929534,0.44809360000363085,0.6814420000009704,0.8980636000051163,1.1313561999995727,1.3479872000025352,1.5646551000099862,1.7979581999970833,,,,,,,49.03858199999377,None,49.03858199999377,None,50.85510659999272,None,50.85510659999272,None,left,0.6506542999995872,50.85510659999272,None,51.538534499995876,None,51.538534499995876,None,right,0.19914909999351948,51.538534499995876,None,,,,001,2021_Mar_17_1315,AB_pic,2020.2.10,59.98857817329337,
AB,lag3,3,5,8,0.16666999999999998,0.05,0.3999999999999999,ramp,,,,,0,5,5,5,,,,,,,makiroll.jpg,bow.jpg,banjo.jpg,pingpongtable.jpg,cashregister01.jpg,candycane01a.jpg,acousticguitar02.jpg,tortoise01.jpg,ant.jpg,eyepatch.jpg,dolphin01.jpg,noparkingsign.jpg,mummy.jpg,alligator.jpg,boxingglove01.jpg,cocktailshrimp02.jpg,triangle.jpg,,,,,,,0,0,10,,,,,.\resources\tortoise01.jpg,,,1,,,,,,,,,1,,,,,,,,,57.70464400999772,None,None,57.70464400999772,None,,,,,,,51.771677599987015,54.52192709999508,51.771677599987015,54.52192709999508,54.25530849999632,None,0.2317678999970667,0.44793209999625105,0.6645847000036156,0.881244100004551,1.0978565999976126,1.3145814000017708,1.531257700000424,1.7478103000030387,1.9645126999967033,2.18114479999349,2.3978026999975555,,,,54.75483599999279,None,54.75483599999279,None,57.17132809999748,None,57.17132809999748,None,right,0.2943762999930186,57.17132809999748,None,57.504664899999625,None,57.504664899999625,None,right,0.18506500001240056,57.504664899999625,None,,,,001,2021_Mar_17_1315,AB_pic,2020.2.10,59.98857817329337,
AB,lag1,1,4,5,0.16000399999999998,0.05,0.3799999999999999,ramp,,,,,0,6,6,6,,,,,,,shovel01.jpg,eyepatch.jpg,birdfeeder.jpg,alligator.jpg,trophy01.jpg,banjo.jpg,boxingglove01.jpg,triangle.jpg,hammerheadshark.jpg,africanelephant.jpg,blender.jpg,mummy.jpg,ant.jpg,acousticguitar02.jpg,tortoise01.jpg,makiroll.jpg,noparkingsign.jpg,,,,,,,0,0,7,,,,,.\resources\trophy01.jpg,,,1,,,,,,,,,1,,,,,,,,,62.970921509989424,None,None,62.970921509989424,None,,,,,,,57.72131699998863,60.471532999988995,57.72131699998863,60.471532999988995,60.20487560000038,None,0.21431969999684952,0.4309690999943996,0.6305491999955848,0.8472253999934765,1.0638910999987274,1.2638627999986056,1.4805374999996275,1.6805289999902016,,,,,,,60.70443699999305,None,60.70443699999305,None,62.404341099987505,None,62.404341099987505,None,right,0.341366199994809,62.404341099987505,None,62.77092759999505,None,62.77092759999505,None,right,0.18277590000070632,62.77092759999505,None,,,,001,2021_Mar_17_1315,AB_pic,2020.2.10,59.98857817329337,
