trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,textbox.started,textbox.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,textbox_2.started,textbox_2.stopped,textbox_3.started,textbox_3.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,textbox_6.started,textbox_6.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,textbox_4.started,textbox_4.stopped,option1_3.started,option1_3.stopped,text_7.started,text_7.stopped,curStimTim,stimOFF0,stimON0,stimOFF1,stimON1,stimOFF2,stimON2,stimOFF3,stimON3,stimOFF4,stimON4,stimOFF5,stimON5,stimOFF6,stimON6,stimOFF7,stimON7,stimOFF8,stimON8,stimOFF9,stimON9,stimOFF10,stimON10,stimOFF11,stimON11,stimOFF12,stimON12,stimOFF13,stimON13,displayPicture_4.started,displayPicture_4.stopped,polygon_16.started,polygon_16.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_17.started,polygon_17.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,textbox_5.started,textbox_5.stopped,B0,B1,stimOFF14,stimON14,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,space,0.3516687999945134,11.598963500000536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Apr_09_1039,AB_pic_singleT2,2020.2.10,60.011474183426465,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,0,0,0,,,,,,,,,11.598963500000536,None,shovel01.jpg,slug.jpg,popcorn.jpg,electrictoothbrush01c.jpg,schoolbus.jpg,parkfountain.jpg,cigar.jpg,mattress.jpg,statue.jpg,stool01.jpg,horseshoe.jpg,cat.jpg,seal.jpg,fishingrod.jpg,daddylonglegs.jpg,dalmatian.jpg,acorn.jpg,12.020239199977368,14.770048899925314,14.503394900006242,None,1,1,13,14.986692399950698,None,14.986692399950698,None,.\resources\horseshoe.jpg,18.48621160001494,None,1,18.48621160001494,None,left,0.4164183000102639,18.48621160001494,None,18.919517699978314,None,1,left,0.13519350008573383,18.919517699978314,None,18.919517699978314,None,19.102858099970035,None,None,20.10283741999883,None,20.10283741999883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Apr_09_1039,AB_pic_singleT2,2020.2.10,60.011474183426465,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4626808000029996,20.102771100006066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Apr_09_1039,AB_pic_singleT2,2020.2.10,60.011474183426465,
AB,lag6,6,5,11,0.2,0.05,0.5,ramp,,,,,0,0,0,0,,,,,,,pig.jpg,greatwhiteshark.jpg,basketball01.jpg,lion.jpg,mummy.jpg,schoolbus.jpg,hockeystick.jpg,bathtub.jpg,saxophone.jpg,scorpion.jpg,mattress.jpg,zipper.jpg,mouse.jpg,hotdogweiner.jpg,skunk.jpg,squid.jpg,saltshaker03a.jpg,,,,,0,0,13,,,,,.\resources\mattress.jpg,,,1,,,,,,,,,1,,,,,,,,,None,27.68565101996064,None,27.68565101996064,None,,,,,20.102771100006066,None,20.63631550001446,23.386147000011988,23.119535099947825,None,0.2,0.21609859995078295,0.2660648999735713,0.46603919996414334,0.5160561000229791,0.71609320002608,0.7660269000334665,0.9657616999465972,1.0157651000190526,1.2157458999427035,1.2657451999839395,1.4657335999654606,1.5157356000272557,1.7157514999853447,1.7657098999479786,1.9657138999318704,2.015724099939689,2.21572560002096,2.2656459000427276,2.465667499927804,2.515661499928683,2.715689599979669,2.7656459999270737,2.9656389999436215,3.0156423000153154,3.2155891000293195,3.265616099932231,3.4656032000202686,3.515604699961841,23.602810199954547,None,23.602810199954547,None,27.118984499946237,None,27.118984499946237,None,right,0.3916503000073135,27.118984499946237,None,27.535720599931665,None,right,0.11887950007803738,27.535720599931665,None,27.535720599931665,None,,,,,,001,2021_Apr_09_1039,AB_pic_singleT2,2020.2.10,60.011474183426465,
AB,lag4,4,4,8,0.19066666667,0.046667,0.48,ramp,,,,,0,1,1,1,,,,,,,trophy01.jpg,giraffe.jpg,rubikcube.jpg,tank.jpg,bathtub.jpg,saltshaker03a.jpg,lighthouse.jpg,foot.jpg,tennisracket.jpg,anchor.jpg,swordfish.jpg,cupcake.jpg,trumpet.jpg,barrel01.jpg,bowlingpin.jpg,alligator.jpg,tie02.jpg,,,,,1,1,10,,,,,.\resources\foot.jpg,,,1,,,,,,,,,1,,,,,,,,,None,34.3351895199623,None,34.3351895199623,None,,,,,,,27.68561529996805,30.43568300001789,30.185705499956384,None,0.19066666667,0.1984874999616295,0.24850929994136095,0.4318160000257194,0.48181909997947514,0.6818197999382392,0.7152348000090569,0.9148707999847829,0.9648399000288919,1.1481902999803424,1.198182599968277,1.3815140000078827,1.4315113000338897,1.6148990000365302,1.664915999979712,1.864914699923247,1.9148105999920517,2.098131399950944,2.1481290999799967,2.331506900023669,2.381570699973963,2.5647367000347003,2.6147360999602824,,,,,,,30.685664299991913,None,30.685664299991913,None,33.301932899979874,None,33.301932899979874,None,left,0.8731373000191525,33.301932899979874,None,34.20187220000662,None,left,0.11668640002608299,34.20187220000662,None,34.20187220000662,None,,,,,,001,2021_Apr_09_1039,AB_pic_singleT2,2020.2.10,60.011474183426465,
AB,lag7,7,4,11,0.18133333334,0.043334,0.45999999999999996,ramp,,,,,0,2,2,2,,,,,,,cactus.jpg,noparkingsign.jpg,cymbal.jpg,greatwhiteshark.jpg,christmastree.jpg,kiwi03.jpg,saxophone.jpg,duck01.jpg,xylophone.jpg,rose.jpg,athleticsock.jpg,swordfish.jpg,spear02.jpg,pirateflag.jpg,tent.jpg,hockeystick.jpg,ironingboard01.jpg,,,,,0,0,13,,,,,.\resources\athleticsock.jpg,,,1,,,,,,,,,1,,,,,,,,,None,41.01830111995805,None,41.01830111995805,None,,,,,,,34.33517839992419,37.08509900001809,36.83512780000456,None,0.18133333334,0.19486899999901652,0.22821359999943525,0.4116001999936998,0.46152690006420016,0.6448490000329912,0.6781985000707209,0.8614972999785095,0.9115752000361681,1.0948935999767855,1.1282480000518262,1.311551499995403,1.3616279000416398,1.5448665000731125,1.5782053000293672,1.7615097999805585,1.8115919000701979,1.9948334000073373,2.0281693000579253,2.211482800077647,2.261559800012037,2.428124799975194,2.478136599995196,2.6614614999853075,2.711561599979177,2.8781220000237226,2.928122500074096,3.111559599987231,3.161509199999273,37.35175449994858,None,37.35175449994858,None,40.51828960003331,None,40.51828960003331,None,right,0.3284327000146732,40.51828960003331,None,40.86825719999615,None,right,0.13037880009505898,40.86825719999615,None,40.86825719999615,None,-10.004099433533323,150.00000012833706,,,,001,2021_Apr_09_1039,AB_pic_singleT2,2020.2.10,60.011474183426465,
AB,lag5,5,5,10,0.17200000001000001,0.040000999999999995,0.43999999999999995,ramp,,,,,0,3,3,3,,,,,,,golfball.jpg,funnel.jpg,honeybee.jpg,redfox.jpg,parachute.jpg,treadmill.jpg,floorlamp.jpg,saxophone.jpg,kite.jpg,trampoline.jpg,lizard.jpg,ladder.jpg,magneticcompass.jpg,chair.jpg,spear02.jpg,duck01.jpg,smokingpipe.jpg,,,,,0,1,12,,,,,.\resources\trampoline.jpg,,,1,,,,,,,,,1,,,,,,,,,None,47.25127512000036,None,47.25127512000036,None,,,,,,,41.03493690001778,43.78484879992902,43.50144519994501,None,0.17200000001000001,0.1791977999964729,0.21251600002869964,0.3958390000043437,0.4291657001012936,0.612550700083375,0.6458984001073986,0.8125189000274986,0.8625565000111237,1.0291670000879094,1.0624804000835866,1.2457800999982283,1.2791205000830814,1.4458195000188425,1.495810899999924,1.6624044000636786,1.712397800059989,1.8790440000593662,1.9123902000719681,2.095776900066994,2.1290491000982,2.295669800019823,2.34567920002155,2.512345900060609,2.545738600078039,2.72898780007381,2.762371000018902,,,44.01816580002196,None,44.01816580002196,None,46.78466979996301,None,46.78466979996301,None,right,0.37399330001790076,46.78466979996301,None,47.20121179998387,None,left,0.029549900093115866,47.20121179998387,None,47.20121179998387,None,-10.00813624472879,150.00000041016054,,,,001,2021_Apr_09_1039,AB_pic_singleT2,2020.2.10,60.011474183426465,
AB,lag2,2,3,5,0.16266666668000002,0.03666799999999999,0.41999999999999993,ramp,,,,,0,4,4,4,,,,,,,fireplace.jpg,chimney.jpg,paperairplane.jpg,windshieldwiper02.jpg,wallclock.jpg,granolabar01.jpg,lip.jpg,drumset.jpg,cactus.jpg,kite.jpg,elbow.jpg,guitarcase.jpg,butterfly.jpg,lighthouse.jpg,englishcucumber.jpg,whiteout.jpg,uprightpiano01.jpg,,,,,0,0,7,,,,,.\resources\wallclock.jpg,,,1,,,,,,,,,1,,,,,,,,,None,52.400898119946945,None,52.400898119946945,None,,,,,,,47.267899199971,50.01770570001099,49.751078599947505,None,0.16266666668000002,0.17863660003058612,0.21196450002025813,0.37859890004619956,0.4119481999659911,0.5619265999412164,0.6119999999646097,0.7619275000179186,0.8119167999830097,0.9619518000399694,1.011975200031884,1.1618926000082865,1.211900299997069,1.3618896999396384,1.4118882999755442,1.5618668999522924,1.5952037000097334,,,,,,,,,,,,,50.26774159993511,None,50.26774159993511,None,51.867597299977206,None,51.867597299977206,None,right,0.37904979998711497,51.867597299977206,None,52.284425399964675,None,right,0.09819709998555481,52.284425399964675,None,52.284425399964675,None,-10.012176447177186,150.00000117030226,,,,001,2021_Apr_09_1039,AB_pic_singleT2,2020.2.10,60.011474183426465,
AB,lag3,3,5,8,0.15333333335000002,0.03333499999999999,0.3999999999999999,ramp,,,,,0,5,5,5,,,,,,,dandelion.jpg,jeans01.jpg,callbell.jpg,motorcycle.jpg,mouse.jpg,doghouse.jpg,swing.jpg,anchor.jpg,squirrel.jpg,skateboard.jpg,surfboard.jpg,seal.jpg,bowlingpin.jpg,barrel01.jpg,whiteout.jpg,tent.jpg,toad.jpg,,,,,0,1,10,,,,,.\resources\anchor.jpg,,,1,,,,,,,,,1,,,,,,,,,None,58.23385141992476,None,58.23385141992476,None,,,,,,,52.41756189998705,55.16737619997002,54.90072759997565,None,0.15333333335000002,0.1616197000257671,0.19490690005477518,0.34489229996688664,0.3782284000189975,0.5282220999943092,0.5615343999816105,0.7281975999940187,0.7616032999940217,0.9115624000551179,0.9448611000552773,1.094863299978897,1.128179099992849,1.2781662000343204,1.3115005000727251,1.46155660005752,1.4948185000102967,1.6615560000063851,1.6947978000389412,1.8447851999662817,1.878171700052917,2.0281079000560567,2.0615189999807626,,,,,,,55.417366400011815,None,55.417366400011815,None,57.48392339993734,None,57.48392339993734,None,right,0.6507519000442699,57.48392339993734,None,58.16718609991949,None,left,0.04745780001394451,58.16718609991949,None,58.16718609991949,None,-10.016191030084372,150.00000344374885,,,,001,2021_Apr_09_1039,AB_pic_singleT2,2020.2.10,60.011474183426465,
AB,lag1,1,4,5,0.14400000002000002,0.03000199999999999,0.3799999999999999,ramp,,,,,0,6,6,6,,,,,,,bed.jpg,pingpongtable.jpg,jackrabbit.jpg,alligator.jpg,scooter.jpg,butterfly.jpg,windmill.jpg,dragonfly01.jpg,fridge.jpg,skippingrope.jpg,zebra.jpg,ant.jpg,granolabar01.jpg,athleticsock.jpg,honeybee.jpg,recyclingbin.jpg,dalmatian.jpg,,,,,0,1,7,,,,,.\resources\scooter.jpg,,,1,,,,,,,,,1,,,,,,,,,None,63.28355851995293,None,63.28355851995293,None,,,,,,,58.2505203000037,61.00030379998498,60.71705630002543,None,0.14400000002000002,0.1452224999666214,0.1785256000002846,0.3285228000022471,0.3618562000337988,0.49517579993698746,0.5285007000202313,0.6785001000389457,0.7118104000110179,0.8451543999835849,0.8784872000105679,1.028476299950853,1.0451891999691725,1.1952071000123397,1.2284578999970108,1.3784464999334887,1.395164499990642,,,,,,,,,,,,,61.2336559999967,None,61.2336559999967,None,62.63356210000347,None,62.63356210000347,None,right,0.4692668999778107,62.63356210000347,None,63.133522199932486,None,left,0.1213379999389872,63.133522199932486,None,63.133522199932486,None,-10.020135257893445,150.00001060616157,,,,001,2021_Apr_09_1039,AB_pic_singleT2,2020.2.10,60.011474183426465,
