trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,textbox.started,textbox.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,textbox_2.started,textbox_2.stopped,textbox_3.started,textbox_3.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,textbox_6.started,textbox_6.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,textbox_4.started,textbox_4.stopped,option1_3.started,option1_3.stopped,text_7.started,text_7.stopped,curStimTim,displayPicture_4.started,displayPicture_4.stopped,polygon_16.started,polygon_16.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_17.started,polygon_17.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,textbox_5.started,textbox_5.stopped,B0,B1,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,space,3.280402900000013,9.504212400000029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag4,4,3,7,0.2,0.05,0.5,,0,0,0,1,,,,,,,,,9.504212400000029,None,bumpercar.jpg,dromedary.jpg,granolabar01.jpg,nose.jpg,jellyfish.jpg,stool01.jpg,bullet.jpg,totempole.jpg,parkingmeter.jpg,tree.jpg,lion.jpg,cruiseship.jpg,bowtie.jpg,sausage.jpg,cactus.jpg,spear02.jpg,raccoon.jpg,12.821790699999951,15.571188399999983,15.304537699999969,None,1,0,9,15.821205299999974,None,15.821205299999974,None,.\resources\bullet.jpg,18.320989899999972,None,1,18.320989899999972,None,left,0.6875885999999127,18.320989899999972,None,19.037567299999978,None,1,right,0.29101029999992534,19.037567299999978,None,19.037567299999978,None,19.370929899999965,None,None,20.370842440000025,None,20.370842440000025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag7,7,5,12,0.2,0.05,0.5,,0,1,1,7,,,,,,,,,,,triangle.jpg,schoolbus.jpg,bullet.jpg,kiwi03.jpg,icecube02.jpg,pumpkin.jpg,surfboard.jpg,parrot01.jpg,pirateflag.jpg,beaver.jpg,elbow.jpg,rollerblade.jpg,spiderweb.jpg,africanelephant.jpg,ducttape.jpg,key07.jpg,witchhat.jpg,20.370846700000016,23.120640399999957,22.85441000000003,None,0,0,14,23.353971,None,23.353971,None,.\resources\rollerblade.jpg,27.12035639999999,None,1,27.12035639999999,None,right,0.5203775999999607,27.12035639999999,None,27.686976699999946,None,1,right,0.2736414999999397,27.686976699999946,None,27.686976699999946,None,28.003625599999964,None,None,29.00355864000003,None,29.00355864000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag1,1,3,4,0.2,0.05,0.5,,0,2,2,3,,,,,,,,,,,giraffe.jpg,telescope.jpg,ipad02.jpg,elbow.jpg,parkingmeter.jpg,spicerack.jpg,acousticguitar02.jpg,skippingrope.jpg,ladybug03.jpg,squirrel.jpg,baseballbat.jpg,waterfountain02.jpg,rooster.jpg,firehydrant.jpg,tire.jpg,nosmokingsign.jpg,frenchfries.jpg,29.00359759999992,31.753791699999965,31.487111000000027,None,0,1,6,32.003740600000015,None,32.003740600000015,None,.\resources\elbow.jpg,33.753213399999936,None,0,33.753213399999936,None,left,1.247458399999914,33.753213399999936,None,35.0364558,None,1,left,0.21209650000002966,35.0364558,None,35.0364558,None,35.26977569999997,None,None,36.269672539999966,None,36.269672539999966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,3,3,0,,,,,,,,,,,dromedary.jpg,bench01.jpg,donut.jpg,tricycle.jpg,wallclock.jpg,jellyfish.jpg,leafrake.jpg,footballhelmet.jpg,chimney.jpg,snowman.jpg,wheelbarrow01.jpg,duck01.jpg,vulture.jpg,tree.jpg,scooter.jpg,bathtub.jpg,fortunecookie.jpg,36.26966249999998,39.01990719999992,38.75330999999994,None,1,1,13,39.25282159999995,None,39.25282159999995,None,.\resources\wheelbarrow01.jpg,42.76923039999997,None,1,42.76923039999997,None,left,0.4713636999999835,42.76923039999997,None,43.26916970000002,None,1,left,0.16348470000002635,43.26916970000002,None,43.26916970000002,None,43.48585409999998,None,None,44.48572223999995,None,44.48572223999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,4,4,8,,,,,,,,,,,greatwhiteshark.jpg,ladder.jpg,snowboard.jpg,cat.jpg,shower.jpg,coffeemaker.jpg,fortunecookie.jpg,table01.jpg,toyanimal05.jpg,well.jpg,tank.jpg,tulip02.jpg,popcorn.jpg,sink.jpg,moon.jpg,lollipop04.jpg,englishcucumber.jpg,44.485778499999924,47.235989700000005,46.96932930000003,None,0,0,13,47.46889299999998,None,47.46889299999998,None,.\resources\tank.jpg,50.985302299999944,None,0,50.985302299999944,None,left,0.6473492999999735,50.985302299999944,None,51.66860029999998,None,1,right,0.052007400000093185,51.66860029999998,None,51.66860029999998,None,51.75192359999994,None,None,52.75185053999994,None,52.75185053999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag3,3,5,8,0.2,0.05,0.5,,0,5,5,10,,,,,,,,,,,beaver.jpg,sink.jpg,bacon.jpg,cruiseship.jpg,hockeystick.jpg,spear02.jpg,harmonica.jpg,flag.jpg,lighthouse.jpg,foot.jpg,crown.jpg,scooter.jpg,ladder.jpg,boxingglove01.jpg,drumstick.jpg,microwave.jpg,tennisracket.jpg,52.76851739999995,55.51838799999996,55.23505560000001,None,1,0,10,55.73501269999997,None,55.73501269999997,None,.\resources\flag.jpg,58.50148869999998,None,1,58.50148869999998,None,left,0.44314969999993536,58.50148869999998,None,58.98476410000001,None,1,right,0.1438961000000063,58.98476410000001,None,58.98476410000001,None,59.168075499999986,None,None,60.16802124000001,None,60.16802124000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag2,2,5,7,0.2,0.05,0.5,,0,6,6,9,,,,,,,,,,,humanskeleton.jpg,lion.jpg,pingpongtable.jpg,totempole.jpg,lizard.jpg,greathornowl.jpg,boxingglove01.jpg,flag.jpg,discoball.jpg,snowshoe.jpg,skippingrope.jpg,seagull.jpg,funnel.jpg,football.jpg,magneticcompass.jpg,rose.jpg,ostrich.jpg,60.16800189999992,62.91784699999994,62.65115549999996,None,0,0,9,63.151135599999975,None,63.151135599999975,None,.\resources\boxingglove01.jpg,65.66760379999994,None,1,65.66760379999994,None,right,0.4129920000000311,65.66760379999994,None,66.11758009999994,None,1,right,0.131077600000026,66.11758009999994,None,66.11758009999994,None,66.28421789999993,None,None,67.28420233999995,None,67.28420233999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag1,1,4,5,0.2,0.05,0.5,,0,7,7,12,,,,,,,,,,,panda.jpg,helicopter.jpg,bench01.jpg,pig.jpg,wheelchair.jpg,discoball.jpg,polarbear.jpg,whiteout.jpg,callbell.jpg,athleticsock.jpg,dolphin01.jpg,peacock.jpg,leafrake.jpg,christmastree.jpg,steeringwheel.jpg,zebra.jpg,cactus.jpg,67.30083049999996,70.05061779999994,69.76731459999996,None,1,1,7,70.26729030000001,None,70.26729030000001,None,.\resources\wheelchair.jpg,72.28380059999995,None,1,72.28380059999995,None,left,0.9168079000000944,72.28380059999995,None,73.25040059999992,None,0,right,0.12631840000005923,73.25040059999992,None,73.25040059999992,None,73.41707359999998,None,None,74.41698343999994,None,74.41698343999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag2,2,3,5,0.2,0.05,0.5,,0,8,8,4,,,,,,,,,,,eye.jpg,toucan.jpg,greywolf.jpg,shovel01.jpg,cloud.jpg,baseballbat.jpg,rollerblade.jpg,swing.jpg,showerhead01.jpg,saltshaker03a.jpg,ceilingfan01.jpg,wheelchair.jpg,locker.jpg,magneticcompass.jpg,zebra.jpg,foot.jpg,escalator.jpg,74.4340876,77.18344969999998,76.90013549999992,None,0,0,7,77.40009739999994,None,77.40009739999994,None,.\resources\cloud.jpg,79.4166209,None,1,79.4166209,None,right,0.5520920999999817,79.4166209,None,80.01654699999995,None,1,right,0.16809059999991405,80.01654699999995,None,80.01654699999995,None,80.19986369999992,None,None,81.19982214000001,None,81.19982214000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag4,4,4,8,0.2,0.05,0.5,,0,9,9,13,,,,,,,,,,,honeybee.jpg,greathornowl.jpg,ladder.jpg,dalmatian.jpg,trumpet.jpg,knee.jpg,seagull.jpg,skateboard.jpg,lollipop04.jpg,shovel01.jpg,guitarcase.jpg,raccoon.jpg,ironingboard01.jpg,discoball.jpg,lawnmower.jpg,ceilingfan01.jpg,witchhat.jpg,81.21647669999993,83.96668319999992,83.68338689999996,None,0,0,10,84.18291239999996,None,84.18291239999996,None,.\resources\skateboard.jpg,86.94938489999993,None,1,86.94938489999993,None,right,0.45125050000001465,86.94938489999993,None,87.43268179999995,None,1,right,0.1198844000000463,87.43268179999995,None,87.43268179999995,None,87.5826922,None,None,88.58260573999993,None,88.58260573999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag5,5,4,9,0.2,0.05,0.5,,0,10,10,6,,,,,,,,,,,waterfountain02.jpg,fortunecookie.jpg,bacon.jpg,tulip02.jpg,witchhat.jpg,chefshat.jpg,windshieldwiper02.jpg,mummy.jpg,toucan.jpg,well.jpg,lightswitch01.jpg,foot.jpg,kiwi03.jpg,funnel.jpg,hockeystick.jpg,spiderweb.jpg,helicopter.jpg,88.59944780000001,91.34946719999994,91.08246220000001,None,1,0,11,91.58238719999997,None,91.58238719999997,None,.\resources\toucan.jpg,94.59882809999999,None,1,94.59882809999999,None,left,1.537898499999983,94.59882809999999,None,96.18204519999995,None,1,right,0.13057579999997415,96.18204519999995,None,96.18204519999995,None,96.3653749,None,None,97.36531344,None,97.36531344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag3,3,3,6,0.2,0.05,0.5,,0,11,11,5,,,,,,,,,,,penguin.jpg,table01.jpg,noparkingsign.jpg,bridge.jpg,firehydrant.jpg,foosballtable.jpg,skippingrope.jpg,pirateflag.jpg,pokerchips.jpg,marble.jpg,ipad02.jpg,waterfountain02.jpg,mouse.jpg,crab01.jpg,calendar.jpg,baseballbat.jpg,hockeystick.jpg,97.36529889999997,100.11551099999997,99.84886340000003,None,1,1,8,100.34841640000002,None,100.34841640000002,None,.\resources\foosballtable.jpg,102.61495019999995,None,1,102.61495019999995,None,left,0.8736974999999347,102.61495019999995,None,103.53153509999993,None,1,left,0.15707369999995535,103.53153509999993,None,103.53153509999993,None,103.71483639999997,None,None,104.71476823999998,None,104.71476823999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag5,5,4,9,0.2,0.05,0.5,,0,12,12,11,,,,,,,,,,,snowman.jpg,cannon.jpg,jellyfish.jpg,lightswitch01.jpg,electrictoothbrush01c.jpg,horseshoe.jpg,jeans01.jpg,ant.jpg,kiwi03.jpg,birdfeeder.jpg,coffeemaker.jpg,waterfall.jpg,lily.jpg,corn02.jpg,rollerblade.jpg,hockeypuck.jpg,kangaroo.jpg,104.71479690000001,107.46498009999993,107.19837529999995,None,0,0,11,107.71496019999995,None,107.71496019999995,None,.\resources\kiwi03.jpg,110.7143585,None,1,110.7143585,None,right,0.3742763999999852,110.7143585,None,111.13098339999999,None,1,right,0.1335693999999421,111.13098339999999,None,111.13098339999999,None,111.29764609999995,None,None,112.29756133999999,None,112.29756133999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag7,7,4,11,0.2,0.05,0.5,,0,13,13,2,,,,,,,,,,,cat.jpg,eyepatch.jpg,tennisracket.jpg,ceilingfan01.jpg,exitsign.jpg,jeans01.jpg,scorpion.jpg,frisbee.jpg,jackrabbit.jpg,coffeemaker.jpg,microphone01.jpg,smokingpipe.jpg,frenchfries.jpg,ostrich.jpg,windmill.jpg,hammerheadshark.jpg,pooltable.jpg,112.31422999999995,115.06442819999995,114.79777739999997,None,1,0,13,115.29733669999996,None,115.29733669999996,None,.\resources\microphone01.jpg,118.81379389999995,None,1,118.81379389999995,None,left,0.4428540000000112,118.81379389999995,None,119.29706149999993,None,1,right,0.17549619999999777,119.29706149999993,None,119.29706149999993,None,119.5137085,None,None,120.51363153999998,None,120.51363153999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,15.365234299999997,120.5136344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag6,6,5,11,0.2,0.05,0.5,ramp,,,,,0,0,0,0,,,,,,,toolbox02.jpg,redfox.jpg,toilet.jpg,baseballbat.jpg,masquerademask01.jpg,cymbal.jpg,brownsugar.jpg,scooter.jpg,ducttape.jpg,marble.jpg,surfboard.jpg,toad.jpg,fingerprint.jpg,snowman.jpg,bat.jpg,englishcucumber.jpg,spiderweb.jpg,,,,,1,0,13,,,,,.\resources\surfboard.jpg,,,1,,,,,,,,,1,,,,,,,,,None,143.19535943999992,None,143.19535943999992,None,,,,,120.5136344,None,135.9958583,138.74606570000003,138.47941379999997,None,0.2,138.92937829999994,None,138.92937829999994,None,142.4453873,None,142.4453873,None,left,0.4831918999999516,142.4453873,None,142.96203489999994,None,right,0.20660069999996722,142.96203489999994,None,142.96203489999994,None,,,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag4,4,4,8,0.19066666667,0.048,0.48,ramp,,,,,0,1,1,1,,,,,,,turnstile.jpg,armadillo.jpg,mattress.jpg,cactus.jpg,arrow02.jpg,trampoline.jpg,cymbal.jpg,greatwhiteshark.jpg,porcupine.jpg,hulahoop.jpg,birthdaycandle.jpg,hotdogweiner.jpg,penguin.jpg,scooter.jpg,bed.jpg,saxophone.jpg,parkingmeter.jpg,,,,,0,1,10,,,,,.\resources\greatwhiteshark.jpg,,,1,,,,,,,,,1,,,,,,,,,None,149.81153284,None,149.81153284,None,,,,,,,143.21200049999993,145.96221860000003,145.69556469999998,None,0.19066666667,146.1951295,None,146.1951295,None,148.84496179999996,None,148.84496179999996,None,right,0.6115899000000127,148.84496179999996,None,149.51152430000002,None,left,0.281087599999978,149.51152430000002,None,149.51152430000002,None,-10.001360791690049,150.0000000424746,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag7,7,4,11,0.18133333334,0.046,0.45999999999999996,ramp,,,,,0,2,2,2,,,,,,,mailbox02.jpg,escalator.jpg,ostrich.jpg,crown.jpg,turnstile.jpg,tulip02.jpg,cannon.jpg,ear.jpg,shovel01.jpg,sink.jpg,urinal.jpg,horse.jpg,cloud.jpg,cruiseship.jpg,toilet.jpg,hockeypuck.jpg,pigeon.jpg,,,,,0,1,13,,,,,.\resources\urinal.jpg,,,1,,,,,,,,,1,,,,,,,,,None,156.76102863999992,None,156.76102863999992,None,,,,,,,149.8281925,152.5784251,152.3117542,None,0.18133333334,152.8113121,None,152.8113121,None,156.02774749999992,None,156.02774749999992,None,right,0.4608280999999579,156.02774749999992,None,156.56103919999998,None,left,0.1835879999999861,156.56103919999998,None,156.56103919999998,None,-10.002719446389834,150.00000013655824,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
AB,lag5,5,5,10,0.17200000001000001,0.044,0.43999999999999995,ramp,,,,,0,3,3,3,,,,,,,lizard.jpg,volleyball.jpg,masquerademask01.jpg,tree.jpg,greathornowl.jpg,floorlamp.jpg,lion.jpg,cupcake.jpg,christmastree.jpg,urinal.jpg,whiteout.jpg,bat.jpg,apron.jpg,penguin.jpg,duck01.jpg,sledgehammer.jpg,soccerball.jpg,,,,,0,0,12,,,,,.\resources\urinal.jpg,,,1,,,,,,,,,1,,,,,,,,,None,163.21056983999992,None,163.21056983999992,None,,,,,,,156.77769539999997,159.5279402,159.2445844,None,0.17200000001000001,159.7612133,None,159.7612133,None,162.5772915,None,162.5772915,None,right,0.3433224999999993,162.5772915,None,162.97722879999992,None,right,0.20740729999999985,162.97722879999992,None,162.97722879999992,None,-10.004075333761547,150.00000038823157,,001,2021_Mar_31_1453,AB_pic_singleT2,2021.1.2,59.99278886681415,
